cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe,branches_topneed,exposure,n_topneed_counties,top_county
11569,Alliance Bank,TX,SULPHUR SPRINGS,Intermediate Small Bank Evaluation,09/01/2023,Satisfactory,1340354.0,,,2023/11569_230306.PDF,False,False,2,13720,1,"Collin, TX"
21074,Texas Bank,TX,HENDERSON,Intermediate Small Bank Evaluation,08/01/2024,Satisfactory,820747.0,,,2024/21074_240304.PDF,False,False,4,13720,1,"Collin, TX"
18344,UBank,TX,HUNTINGTON,Intermediate Small Bank Evaluation,08/01/2024,Satisfactory,631527.0,,,2024/18344_240129.PDF,False,False,1,13720,1,"Collin, TX"
21716,Citizens Business Bank,CA,ONTARIO,Large Bank Evaluation,08/01/2023,Satisfactory,16758546.0,High Satisfactory,Outstanding,2023/21716_230227.PDF,False,False,12,13477,1,"Orange, CA"
21943,Tri Counties Bank,CA,CHICO,Large Bank Evaluation,07/01/2025,Outstanding,9811273.0,Outstanding,Outstanding,2024/21943_240506.PDF,False,False,1,13477,1,"Orange, CA"
20624,Byline Bank,IL,CHICAGO,Large Bank Evaluation,11/01/2025,Satisfactory,9566291.0,High Satisfactory,High Satisfactory,2025/20624_250527.PDF,False,False,1,13477,1,"Orange, CA"
57903,Poppy Bank,CA,SANTA ROSA,Large Bank Evaluation,01/01/2026,Satisfactory,6791228.0,High Satisfactory,High Satisfactory,2025/57903_250714.PDF,False,False,4,13477,1,"Orange, CA"
18618,Manufacturers Bank,CA,LOS ANGELES,Large Bank Evaluation,08/01/2023,Satisfactory,4906144.0,High Satisfactory,High Satisfactory,2023/18618_230403.PDF,False,False,1,13477,1,"Orange, CA"
19416,CTBC Bank Corp. (USA),CA,LOS ANGELES,Large Bank Evaluation,07/01/2023,Satisfactory,4816873.0,Substantial Non Complianc,Substantial Non Complianc,2023/19416_230206.PDF,True,True,2,13477,1,"Orange, CA"
34788,American Business Bank,CA,LOS ANGELES,Large Bank Evaluation,06/01/2024,Satisfactory,3874161.0,High Satisfactory,High Satisfactory,2024/34788_240129.PDF,False,False,2,13477,1,"Orange, CA"
57417,Commercial Bank of California,CA,IRVINE,Large Bank Evaluation,06/01/2026,Satisfactory,3846280.0,Low Satisfactory,High Satisfactory,2026/57417_260112.PDF,False,True,3,13477,1,"Orange, CA"
23030,Community West Bank,CA,FRESNO,Large Bank Evaluation,08/01/2025,Satisfactory,3518255.0,High Satisfactory,High Satisfactory,2025/23030_250218.PDF,False,False,1,13477,1,"Orange, CA"
58291,CalPrivate Bank,CA,LA JOLLA,Large Bank Evaluation,08/01/2024,Satisfactory,2152083.0,High Satisfactory,High Satisfactory,2024/58291_240318.PDF,False,False,1,13477,1,"Orange, CA"
58060,First General Bank,CA,ROWLAND HEIGHTS,Intermediate Small Bank Evaluation,04/01/2024,Outstanding,1162607.0,,,2023/58060_231204.PDF,False,False,1,13477,1,"Orange, CA"
34010,EverTrust Bank,CA,CITY OF INDUSTRY,Intermediate Small Bank Evaluation,09/01/2025,Satisfactory,946458.0,,,2025/34010_250303.PDF,False,False,1,13477,1,"Orange, CA"
34496,First Commercial Bank (USA),CA,ALHAMBRA,Intermediate Small Bank Evaluation,01/01/2024,Satisfactory,855612.0,,,2023/34496_230918.PDF,False,False,1,13477,1,"Orange, CA"
22366,GBC International Bank,CA,LOS ANGELES,Intermediate Small Bank Evaluation,01/01/2026,Satisfactory,655141.0,,,2025/22366_250616.PDF,False,False,1,13477,1,"Orange, CA"
58401,Mega Bank,CA,SAN GABRIEL,Intermediate Small Bank Evaluation,05/01/2025,Needs to Improve,517535.0,,,2025/58401_250121.PDF,False,False,1,13477,1,"Orange, CA"
58588,Partners Bank of California,CA,MISSION VIEJO,Intermediate Small Bank Evaluation,05/01/2025,Satisfactory,472887.0,,,2024/58588_241211.PDF,False,False,1,13477,1,"Orange, CA"
57565,UBS Bank USA,UT,SALT LAKE CITY,Strategic Plan Evaluation,07/01/2024,Outstanding,114351610.0,,,2024/57565_240108.PDF,False,False,1,13437,1,"Salt Lake, UT"
58177,Sallie Mae Bank,UT,SALT LAKE CITY,Strategic Plan Evaluation,03/01/2024,Outstanding,27667921.0,,,2023/58177_230808.PDF,False,False,1,13437,1,"Salt Lake, UT"
57408,"Optum Bank, Inc.",UT,DRAPER,Strategic Plan Evaluation,06/01/2026,Outstanding,20824000.0,,,2026/57408_260126.PDF,False,False,1,13437,1,"Salt Lake, UT"
57570,Comenity Capital Bank,UT,DRAPER,Strategic Plan Evaluation,05/01/2026,Outstanding,12908706.0,,,2025/57570_251006.PDF,False,False,1,13437,1,"Salt Lake, UT"
35141,BMW Bank of North America,UT,SALT LAKE CITY,Strategic Plan Evaluation,06/01/2026,Satisfactory,12814515.0,,,2026/35141_260217.PDF,False,False,1,13437,1,"Salt Lake, UT"
34519,Merrick Bank,UT,SOUTH JORDAN,Strategic Plan Evaluation,05/01/2026,Outstanding,9112904.0,,,2025/34519_251201.PDF,False,False,1,13437,1,"Salt Lake, UT"
34697,WEX Bank,UT,SANDY,Large Bank Evaluation,10/01/2025,Satisfactory,7597943.0,Low Satisfactory,Low Satisfactory,2024/34697_241016.PDF,True,True,1,13437,1,"Salt Lake, UT"
34404,WebBank,UT,SALT LAKE CITY,Strategic Plan Evaluation,05/01/2021,Outstanding,2782223.0,,,2020/34404_201130.PDF,False,False,1,13437,1,"Salt Lake, UT"
57056,Celtic Bank,UT,SALT LAKE CITY,Strategic Plan Evaluation,01/01/2024,Satisfactory,2392860.0,,,2023/57056_230710.PDF,False,False,1,13437,1,"Salt Lake, UT"
57449,Medallion Bank,UT,SALT LAKE CITY,Strategic Plan Evaluation,06/01/2024,Outstanding,2262139.0,,,2023/57449_231127.PDF,False,False,1,13437,1,"Salt Lake, UT"
59205,Nelnet Bank,UT,DRAPER,Strategic Plan Evaluation,03/01/2026,Outstanding,1767193.0,,,2025/59205_251020.PDF,False,False,1,13437,1,"Salt Lake, UT"
34599,"The Pitney Bowes Bank, Inc.",UT,SALT LAKE CITY,Strategic Plan Evaluation,07/01/2025,Outstanding,851731.0,,,2025/34599_250303.PDF,False,False,1,13437,1,"Salt Lake, UT"
58148,Milestone Bank,UT,SALT LAKE CITY,Wholesale Bank Evaluation,01/01/2026,Satisfactory,391045.0,,,2025/58148_250825.PDF,False,False,1,13437,1,"Salt Lake, UT"
35323,FinWise Bank,UT,MURRAY,Strategic Plan Evaluation,10/01/2023,Satisfactory,373830.0,,,2022/35323_221128.PDF,False,False,2,13437,1,"Salt Lake, UT"
59177,"Square Financial Services, Inc.",UT,SALT LAKE CITY,Strategic Plan Evaluation,08/01/2023,Outstanding,327975.0,,,2023/59177_230314.PDF,False,False,1,13437,1,"Salt Lake, UT"
57571,Continental Bank,UT,SALT LAKE CITY,Strategic Plan Evaluation,07/01/2025,Satisfactory,171418.0,,,2024/57571_241202.PDF,False,False,1,13437,1,"Salt Lake, UT"
35533,First Electronic Bank,UT,SALT LAKE CITY,Strategic Plan Evaluation,02/01/2024,Satisfactory,131170.0,,,2022/35533_221031.PDF,False,False,1,13437,1,"Salt Lake, UT"
22205,Barwick Banking Company,GA,BARWICK,Intermediate Small Bank Evaluation,12/01/2025,Satisfactory,603254.0,,,2025/22205_250527.PDF,False,False,1,13257,1,"Alachua, FL"
35138,Millennium Bank,TN,OOLTEWAH,Intermediate Small Bank Evaluation,02/01/2024,Satisfactory,531367.0,,,2023/35138_231016.PDF,False,False,1,13257,1,"Alachua, FL"
11124,S&T Bank,PA,INDIANA,Large Bank Evaluation,03/01/2025,Satisfactory,9628986.0,High Satisfactory,High Satisfactory,2024/11124_241007.PDF,False,False,1,13253,1,"Franklin, OH"
28533,First Bank Richmond,IN,RICHMOND,Intermediate Small Bank Evaluation,06/01/2025,Satisfactory,1500367.0,,,2025/28533_250130.PDF,False,False,1,13253,1,"Franklin, OH"
59144,Ohio State Bank,OH,BEXLEY,Intermediate Small Bank Evaluation,08/01/2026,Needs to Improve,482811.0,,,2026/59144_260420.PDF,False,False,2,13253,1,"Franklin, OH"
10634,Pinnacle Bank,NE,LINCOLN,Large Bank Evaluation,03/01/2025,Satisfactory,8610829.0,High Satisfactory,High Satisfactory,2024/10634_240819.PDF,False,False,1,11735,1,"Jackson, MO"
17933,Blue Ridge Bank and Trust Co.,MO,INDEPENDENCE,Intermediate Small Bank Evaluation,04/01/2026,Satisfactory,828253.0,,,2025/17933_251117.PDF,False,False,8,11735,1,"Jackson, MO"
8283,Lead Bank,MO,KANSAS CITY,Strategic Plan Evaluation,09/01/2023,Satisfactory,778855.0,,,2023/8283_230103.PDF,False,False,2,11735,1,"Jackson, MO"
9803,Bank of Odessa,MO,ODESSA,Intermediate Small Bank Evaluation,02/01/2026,Satisfactory,627755.0,,,2025/9803_250819.PDF,False,False,1,11735,1,"Jackson, MO"
19772,IncredibleBank,WI,WAUSAU,Large Bank Evaluation,10/01/2025,Satisfactory,2004363.0,Outstanding,Outstanding,2025/19772_250421.PDF,False,False,3,11290,1,"Lee, FL"
57777,Meridian Bank,PA,PAOLI,Large Bank Evaluation,07/01/2023,Satisfactory,1831464.0,Substantial Non Complianc,Substantial Non Complianc,2022/57777_221129.PDF,True,True,1,11290,1,"Lee, FL"
57425,Sanibel Captiva Community Bank,FL,SANIBEL,Intermediate Small Bank Evaluation,01/01/2025,Satisfactory,886730.0,,,2024/57425_240610.PDF,False,False,8,11290,1,"Lee, FL"
18519,First Service Bank,AR,GREENBRIER,Intermediate Small Bank Evaluation,03/01/2026,Satisfactory,836370.0,,,2025/18519_251006.PDF,False,False,2,10725,1,"Pulaski, AR"
1756,Central Bank,AR,LITTLE ROCK,Intermediate Small Bank Evaluation,04/01/2025,Satisfactory,673988.0,,,2024/1756_241104.PDF,False,False,2,10725,1,"Pulaski, AR"
17431,Stone Bank,AR,MOUNTAIN VIEW,Intermediate Small Bank Evaluation,02/01/2021,Satisfactory,560085.0,High Satisfactory,High Satisfactory,2020/17431_200928.PDF,False,False,1,10725,1,"Pulaski, AR"
58210,Bridgewater Bank,MN,SAINT LOUIS PARK,Large Bank Evaluation,07/01/2026,Outstanding,5398413.0,High Satisfactory,High Satisfactory,2026/58210_260223.PDF,False,False,8,10647,1,"Hennepin, MN"
9423,Choice Financial Group,ND,FARGO,Large Bank Evaluation,06/01/2025,Satisfactory,5271199.0,High Satisfactory,High Satisfactory,2024/9423_241202.PDF,False,False,2,10647,1,"Hennepin, MN"
3973,First Bank & Trust,SD,BROOKINGS,Large Bank Evaluation,05/01/2026,Outstanding,4735956.0,Outstanding,High Satisfactory,2025/3973_251117.PDF,False,False,1,10647,1,"Hennepin, MN"
16958,Minnwest Bank,MN,REDWOOD FALLS,Large Bank Evaluation,07/01/2025,Satisfactory,3161280.0,High Satisfactory,High Satisfactory,2025/16958_250210.PDF,False,False,2,10647,1,"Hennepin, MN"
8851,Park State Bank,MN,DULUTH,Intermediate Small Bank Evaluation,11/01/2024,Satisfactory,1334792.0,,,2024/8851_240708.PDF,False,False,1,10647,1,"Hennepin, MN"
21714,Premier Bank,MN,MAPLEWOOD,Intermediate Small Bank Evaluation,02/01/2024,Satisfactory,1022306.0,,,2023/21714_230918.PDF,False,False,1,10647,1,"Hennepin, MN"
9751,21st Century Bank,MN,LORETTO,Intermediate Small Bank Evaluation,03/01/2026,Satisfactory,864569.0,,,2025/9751_251117.PDF,False,False,3,10647,1,"Hennepin, MN"
16111,Highland Bank,MN,SAINT PAUL,Intermediate Small Bank Evaluation,04/01/2025,Satisfactory,759078.0,,,2024/16111_240903.PDF,False,False,3,10647,1,"Hennepin, MN"
16659,Northeast Bank,MN,MINNEAPOLIS,Intermediate Small Bank Evaluation,10/01/2023,Outstanding,712829.0,,,2023/16659_230628.PDF,False,False,1,10647,1,"Hennepin, MN"
15324,Security Bank & Trust Company,MN,GLENCOE,Intermediate Small Bank Evaluation,03/01/2024,Satisfactory,708993.0,,,2023/15324_231116.PDF,False,False,4,10647,1,"Hennepin, MN"
58039,First Resource Bank,MN,LINO LAKES,Intermediate Small Bank Evaluation,09/01/2025,Satisfactory,689425.0,,,2025/58039_250527.PDF,False,False,1,10647,1,"Hennepin, MN"
8714,Unity Bank,WI,AUGUSTA,Intermediate Small Bank Evaluation,12/01/2024,Satisfactory,620653.0,,,2024/8714_240603.PDF,False,False,1,10647,1,"Hennepin, MN"
18361,Coulee Bank,WI,LA CROSSE,Intermediate Small Bank Evaluation,08/01/2025,Satisfactory,553149.0,,,2025/18361_250310.PDF,False,False,1,10647,1,"Hennepin, MN"
20179,First Independence Bank,MI,DETROIT,Intermediate Small Bank Evaluation,11/01/2023,Satisfactory,545679.0,,,2023/20179_230523.PDF,False,False,2,10647,1,"Hennepin, MN"
20268,Scale Bank,MN,EDINA,Strategic Plan Evaluation,05/01/2025,Satisfactory,545668.0,,,2025/20268_250113.PDF,False,False,1,10647,1,"Hennepin, MN"
58511,Platinum Bank,MN,OAKDALE,Intermediate Small Bank Evaluation,06/01/2023,Satisfactory,479568.0,,,2023/58511_230214.PDF,False,False,1,10647,1,"Hennepin, MN"
31100,Security Federal Bank,SC,AIKEN,Intermediate Small Bank Evaluation,01/01/2026,Satisfactory,1519347.0,,,2025/31100_250623.PDF,False,False,3,10307,1,"Richland, SC"
35241,OPTUS Bank,SC,COLUMBIA,Intermediate Small Bank Evaluation,10/01/2025,Satisfactory,615384.0,,,2024/35241_241104.PDF,False,False,2,10307,1,"Richland, SC"
33119,"Heritage Bank, Inc.",KY,ERLANGER,Intermediate Small Bank Evaluation,04/01/2024,Satisfactory,1594809.0,,,2023/33119_231128.PDF,False,False,1,9888,1,"Hamilton, OH"
17040,Wilson & Muir Bank & Trust Company,KY,BARDSTOWN,Intermediate Small Bank Evaluation,05/01/2023,Satisfactory,683049.0,,,2023/17040_230123.PDF,False,False,1,9847,1,"Jefferson, KY"
26703,"River City Bank, Inc.",KY,LOUISVILLE,Intermediate Small Bank Evaluation,06/01/2025,Satisfactory,492254.0,,,2025/26703_250212.PDF,False,False,6,9847,1,"Jefferson, KY"
58049,"Eclipse Bank, Inc.",KY,LOUISVILLE,Intermediate Small Bank Evaluation,12/01/2025,Satisfactory,488274.0,,,2025/58049_250804.PDF,False,False,3,9847,1,"Jefferson, KY"
9204,Central Bank,UT,PROVO,Large Bank Evaluation,11/01/2023,Satisfactory,2014180.0,Low Satisfactory,High Satisfactory,2023/9204_230710.PDF,False,True,12,9826,1,"Utah, UT"
18100,CoreFirst Bank & Trust,KS,TOPEKA,Intermediate Small Bank Evaluation,04/01/2026,Satisfactory,1302409.0,,,2025/18100_251103.PDF,False,False,2,9620,1,"Johnson, KS"
34363,Core Bank,NE,OMAHA,Intermediate Small Bank Evaluation,09/01/2023,Satisfactory,1035351.0,,,2023/34363_230515.PDF,False,False,1,9620,1,"Johnson, KS"
1874,Bank of Labor,KS,OVERLAND PARK,Strategic Plan Evaluation,11/01/2025,Satisfactory,1034136.0,,,2025/1874_250630.PDF,False,False,4,9620,1,"Johnson, KS"
17614,Farmers Bank & Trust,KS,GREAT BEND,Intermediate Small Bank Evaluation,08/01/2024,Needs to Improve,985167.0,,,2024/17614_240212.PDF,False,False,2,9620,1,"Johnson, KS"
17685,Outdoor Bank,KS,MANHATTAN,Intermediate Small Bank Evaluation,04/01/2026,Satisfactory,619429.0,,,2025/17685_251027.PDF,False,False,1,9620,1,"Johnson, KS"
15323,Silver Lake Bank,KS,TOPEKA,Intermediate Small Bank Evaluation,11/01/2024,Satisfactory,460473.0,,,2024/15323_240715.PDF,False,False,1,9620,1,"Johnson, KS"
18429,Morton Community Bank,IL,MORTON,Large Bank Evaluation,08/01/2024,Satisfactory,5467281.0,High Satisfactory,Low Satisfactory,2024/18429_240205.PDF,True,True,1,9573,1,"Champaign, IL"
15752,First State Bank,IL,MENDOTA,Intermediate Small Bank Evaluation,08/01/2024,Satisfactory,1550854.0,,,2024/15752_240325.PDF,False,False,1,9573,1,"Champaign, IL"
22874,Hickory Point Bank and Trust,IL,DECATUR,Intermediate Small Bank Evaluation,11/01/2024,Satisfactory,776806.0,,,2024/22874_240506.PDF,False,False,1,9573,1,"Champaign, IL"
27362,Prairie State Bank and Trust,IL,SPRINGFIELD,Intermediate Small Bank Evaluation,01/01/2025,Satisfactory,770382.0,,,2024/27362_240729.PDF,False,False,1,9573,1,"Champaign, IL"
3722,Prospect Bank,IL,PARIS,Intermediate Small Bank Evaluation,03/01/2024,Satisfactory,736375.0,,,2023/3722_231016.PDF,False,False,2,9573,1,"Champaign, IL"
16332,First State Bank and Trust,IL,MONTICELLO,Intermediate Small Bank Evaluation,02/01/2026,Satisfactory,513967.0,,,2025/16332_250929.PDF,False,False,1,9573,1,"Champaign, IL"
