cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
57135,CresCom Bank,SC,CHARLESTON,Large Bank Evaluation,11/01/2018,Satisfactory,3695731.0,Low Satisfactory,Low Satisfactory,2018/57135_180521.PDF,True,False
7514,Peoples Security Bank and Trust Company,PA,SCRANTON,Large Bank Evaluation,01/01/2024,Satisfactory,3677877.0,High Satisfactory,High Satisfactory,2023/7514_230717.PDF,False,False
15614,West Bank,IA,WEST DES MOINES,Large Bank Evaluation,01/01/2024,Outstanding,3676875.0,High Satisfactory,High Satisfactory,2023/15614_230911.PDF,False,False
32749,New York Commercial Bank,NY,WESTBURY,Large Bank Evaluation,06/01/2018,Satisfactory,3651783.0,High Satisfactory,High Satisfactory,2017/32749_171108.PDF,False,False
58181,Metro City Bank,GA,DORAVILLE,Large Bank Evaluation,01/01/2026,Satisfactory,3644728.0,High Satisfactory,High Satisfactory,2025/58181_250630.PDF,False,False
15815,Central Bank & Trust Co.,KY,LEXINGTON,Large Bank Evaluation,07/01/2025,Satisfactory,3643067.0,Outstanding,Outstanding,2025/15815_250210.PDF,False,False
34102,"Summit Community Bank, Inc",WV,MOOREFIELD,Large Bank Evaluation,09/01/2022,Satisfactory,3620991.0,Low Satisfactory,High Satisfactory,2022/34102_220317.PDF,False,True
4705,Security Bank of Kansas City,KS,KANSAS CITY,Large Bank Evaluation,04/01/2024,Satisfactory,3613944.0,Low Satisfactory,High Satisfactory,2023/4705_231128.PDF,False,True
58481,First Bank,NJ,HAMILTON,Large Bank Evaluation,09/01/2024,Satisfactory,3609326.0,High Satisfactory,High Satisfactory,2024/58481_240221.PDF,False,False
11578,Burke & Herbert Bank & Trust Company,VA,ALEXANDRIA,Large Bank Evaluation,11/01/2023,Satisfactory,3563307.0,Low Satisfactory,High Satisfactory,2023/11578_230501.PDF,False,True
23030,Community West Bank,CA,FRESNO,Large Bank Evaluation,08/01/2025,Satisfactory,3518255.0,High Satisfactory,High Satisfactory,2025/23030_250218.PDF,False,False
34603,"MVB Bank, Inc",WV,FAIRMONT,Large Bank Evaluation,01/01/2024,Satisfactory,3505453.0,High Satisfactory,High Satisfactory,2023/34603_230605.PDF,False,False
35361,Five Star Bank,CA,ROSEVILLE,Large Bank Evaluation,02/01/2025,Satisfactory,3476132.0,High Satisfactory,Low Satisfactory,2024/35361_240722.PDF,True,True
12383,Carrollton Bank,IL,CARROLLTON,Large Bank Evaluation,06/01/2025,Outstanding,3444964.0,Outstanding,Outstanding,2024/12383_241212.PDF,False,False
19008,Parkway Bank and Trust Company,IL,HARWOOD HEIGHTS,Large Bank Evaluation,08/01/2024,Satisfactory,3435859.0,Low Satisfactory,Low Satisfactory,2024/19008_240401.PDF,True,True
32296,Union Savings Bank,OH,CINCINNATI,Large Bank Evaluation,05/01/2024,Satisfactory,3391585.0,High Satisfactory,Low Satisfactory,2023/32296_230613.PDF,True,True
5969,The Farmers & Merchants State Bank,OH,ARCHBOLD,Large Bank Evaluation,01/01/2026,Satisfactory,3379947.0,High Satisfactory,High Satisfactory,2025/5969_250707.PDF,False,False
8468,Exchange Bank,CA,SANTA ROSA,Large Bank Evaluation,07/01/2026,Satisfactory,3304145.0,Low Satisfactory,Low Satisfactory,2026/8468_260112.PDF,True,True
