cert,bank,state,regulator,assets_k,exam_method,inv_rating,svc_rating,pe_date,route,contact,channel,address
10958,United Prairie Bank,MN,FDIC,939274,Intermediate Small Bank Evaluation,,,04/01/2026,role,CRA Officer,www.unitedprairiebank.com,"1141 3rd Ave, Mountain Lake, MN 56159"
4178,Security Bank,OK,FED,938970,Int Small Bank,,,"Jan 24, 2022",role,CRA Officer,http://www.sbtulsa.bank,"10727 E 51st St, Tulsa, OK 74146"
58297,Pinnacle Bank,CA,FDIC,936970,Intermediate Small Bank Evaluation,,,06/01/2023,role,CRA Officer,http://www.pinnacle.bank,"7597 Monterey St, Gilroy, CA 95020"
57465,First Commerce Bank,TN,FDIC,935084,Intermediate Small Bank Evaluation,,,01/01/2024,role,CRA Officer,www.firstcommercebank.net,"500 N Ellington Pkwy, Lewisburg, TN 37091"
58469,"American Plus Bank, N.A.",CA,OCC,935046,Intermediate Small Bank,,,08/15/2024,role,CRA Officer,www.bankaplus.com,"630 W Duarte Rd, Arcadia, CA 91007"
3183,NewFirst National Bank,TX,OCC,934933,Intermediate Small Bank,,,10/10/2023,role,CRA Officer,WWW.NEWFIRST.COM,"200 E Jackson St, El Campo, TX 77437"
14134,Passumpsic Savings Bank,VT,FDIC,934455,Intermediate Small Bank Evaluation,,,09/01/2024,role,CRA Officer,http://www.passumpsicbank.com,"497 Railroad St, Saint Johnsbury, VT 05819"
16243,Bank of Eastern Oregon,OR,FDIC,933601,Intermediate Small Bank Evaluation,,,07/01/2023,role,CRA Officer,www.beobank.com,"279 N Main St, Heppner, OR 97836"
30090,"Heritage Bank USA, Inc.",KY,FDIC,932176,Intermediate Small Bank Evaluation,High Satisfactory,High Satisfactory,06/01/2018,role,CRA Officer,,"4155 Lafayette Rd, Hopkinsville, KY 42240"
17951,Franklin Savings Bank,NH,FDIC,931389,Intermediate Small Bank Evaluation,,,09/01/2023,role,CRA Officer,www.fsbnh.bank,"387 Central St, Franklin, NH 03235"
10214,Vermillion State Bank,MN,FDIC,931375,Intermediate Small Bank Evaluation,,,02/01/2024,role,CRA Officer,WWW.VERMILLIONBANK.COM,"107 Main St E, Vermillion, MN 55085"
9719,Oxford Bank,MI,FED,930519,Intermediate Small Bank Evaluation,High Satisfactory,High Satisfactory,09/01/2020,role,CRA Officer,www.oxfordbank.com,"60 S Washington St, Oxford, MI 48371"
15632,Greenfield Banking Company,IN,FDIC,930490,Intermediate Small Bank Evaluation,,,10/01/2024,role,CRA Officer,www.gbcbank.com,"1920 N State St, Greenfield, IN 46140"
3842,First National Bank of Waterloo,IL,OCC,929324,Intermediate Small Bank,,,11/03/2025,role,CRA Officer,www.fnbwaterloo.bank,"228 S Main St, Waterloo, IL 62298"
16175,West Alabama Bank & Trust,AL,FDIC,928951,Intermediate Small Bank Evaluation,,,02/01/2026,role,CRA Officer,www.wabt.com,"509 1st Ave W, Reform, AL 35481"
34936,Legends Bank,TN,FDIC,927663,Intermediate Small Bank Evaluation,,,06/01/2023,role,CRA Officer,www.legendsbank.com,"310 N 1st St, Clarksville, TN 37040"
35568,"American Bank & Trust Company, Inc.",KY,FDIC,924409,Intermediate Small Bank Evaluation,,,12/01/2025,role,CRA Officer,www.ambanking.com,"531 Lovers Ln, Bowling Green, KY 42103"
57841,Valliance Bank,OK,FDIC,923291,Intermediate Small Bank Evaluation,,,11/01/2024,role,CRA Officer,www.valliance.bank,"1601 Nw Expressway, Oklahoma City, OK 73118"
27601,Inland Northwest Bank,WA,FDIC,922671,Intermediate Small Bank Evaluation,High Satisfactory,Outstanding,07/01/2018,role,CRA Officer,,"421 West Riverside, Suite 113, Spokane, WA 99201"
7675,First Northern Bank and Trust Company,PA,FED,921494,Large Bank,Low Satisfactory,Low Satisfactory,"Mar 08, 2021",role,CRA Officer,www.1stnorthern.bank,"4th Street And Lafayette Avenue, Palmerton, PA 18071"
26559,"StonehamBank,  A Co-operative Bank",MA,FDIC,918261,Intermediate Small Bank Evaluation,,,03/01/2026,role,CRA Officer,stonehambank.com,"80 Montvale Ave, Stoneham, MA 02180"
7614,The Juniata Valley Bank,PA,FDIC,917861,Intermediate Small Bank Evaluation,,,07/01/2025,role,CRA Officer,www.jvbonline.com,"1 S Main St, Mifflintown, PA 17059"
29700,Century Next Bank,LA,OCC,916376,Intermediate Small Bank,,,10/02/2023,role,CRA Officer,www.cnext.bank,"505 N Vienna St, Ruston, LA 71270"
1833,State Bank,IN,FDIC,916099,Intermediate Small Bank Evaluation,,,07/01/2024,role,CRA Officer,www.statebank1910.bank,"900 E 56th St, Brownsburg, IN 46112"
35323,FinWise Bank,UT,FDIC,915475,Strategic Plan Evaluation,,,10/01/2023,role,CRA Officer,www.finwise.bank,"756 E Winchester St, Murray, UT 84107"
12761,F&M Bank,OK,FDIC,915290,Intermediate Small Bank Evaluation,,,12/01/2025,role,CRA Officer,http://www.fmbankok.com,"17100 N May Ave, Edmond, OK 73012"
1073,Lindell Bank & Trust Company,MO,FED,915166,Int Small Bank,Low Satisfactory,Low Satisfactory,"Sep 05, 2023",role,CRA Officer,www.lindellbank.com,"6900 Clayton Ave, St. Louis, MO 63139"
4048,SpiritBank,OK,FDIC,912801,Intermediate Small Bank Evaluation,,,02/01/2025,role,CRA Officer,www.spiritbank.com,"4815 S Harvard Ave, Tulsa, OK 74135"
58257,DR Bank,CT,FDIC,912610,Strategic Plan Evaluation,,,02/01/2026,role,CRA Officer,www.drbank.com,"1001 Post Rd, Darien, CT 06820"
18740,Heartland Bank,NE,FDIC,911086,Intermediate Small Bank Evaluation,,,09/01/2023,role,CRA Officer,www.myheartland.bank,"896 G St, Geneva, NE 68361"
13107,"Citizens State Bank of New Castle, Indiana",IN,FDIC,908766,Intermediate Small Bank Evaluation,,,06/01/2023,role,CRA Officer,www.mycsbin.com,"1238 Broad St, New Castle, IN 47362"
8903,Peoples Bank & Trust Co.,MO,FED,908283,Int Small Bank,,,"Feb 03, 2020",role,CRA Officer,pbtc.net,"430 E Wood St, Troy, MO 63379"
57874,Paragon Bank,TN,FDIC,908076,Intermediate Small Bank Evaluation,,,02/01/2026,role,CRA Officer,http://www.bankparagon.com,"5400 Poplar Ave, Memphis, TN 38119"
16858,First American Bank and Trust Company,GA,FDIC,901901,Intermediate Small Bank Evaluation,,,10/01/2025,role,CRA Officer,www.fabt.bank,"300 College Ave, Athens, GA 30601"
26397,Greenfield Co-operative Bank,MA,FED,901813,Int Small Bank,,,"Oct 05, 2020",role,CRA Officer,www.greenfieldcoopbank.com,"63 Federal St, Greenfield, MA 01301"
35151,New Millennium Bank,NJ,FDIC,899076,Intermediate Small Bank Evaluation,,,02/01/2025,role,CRA Officer,https://WWW.NMBONLINE.COM,"222 Bridge Plz S, Fort Lee, NJ 07024"
26634,Mechanics Cooperative Bank,MA,FDIC,898764,Intermediate Small Bank Evaluation,,,11/01/2025,role,CRA Officer,www.mechanics.bank,"316 Broadway, Taunton, MA 02780"
