rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
749635,35,AUBURNBANK,"AUBURN, AL",Int Small Bank,"Mar 03, 2025",Satisfactory,"$976,852",High Satisfactory,High Satisfactory,Satisfactory,5,7222,"Lee, AL"
3368635,58030,PARADISE BANK,"BOCA RATON, FL",Int Small Bank,"Sep 19, 2022",Satisfactory,"$416,402",,,Satisfactory,2,7002,"Palm Beach, FL"
719656,12223,"CALLAWAY BANK, THE","FULTON, MO",Int Small Bank,"Oct 06, 2025",Satisfactory,"$498,766",,,Satisfactory,3,6901,"Boone, MO"
309150,14036,"MISSOURI BANK, THE","WARRENTON, MO",Int Small Bank,"Aug 18, 2025",Satisfactory,"$470,003",,,Satisfactory,1,6901,"Boone, MO"
3274709,57756,COASTAL STATES BANK,"HILTON HEAD ISLAND, SC",Int Small Bank,"Oct 21, 2024",Satisfactory,"$2,113,953",,,Satisfactory,1,6796,"Cobb, GA"
830542,1552,CBI BANK & TRUST,"MUSCATINE, IA",Int Small Bank,"Oct 20, 2025",Outstanding,"$1,575,685",High Satisfactory,High Satisfactory,Satisfactory,1,6287,"Johnson, IA"
678744,1550,CENTRAL STATE BANK,"ELKADER, IA",Int Small Bank,"Jun 06, 2022",Satisfactory,"$404,247",,,Satisfactory,2,6287,"Johnson, IA"
223322,22918,"FIRST BANK AND TRUST COMPANY, THE","LEBANON, VA",Large Bank,"Oct 19, 2020",Satisfactory,"$2,319,799",Low Satisfactory,Low Satisfactory,Satisfactory,2,6285,"Montgomery, VA"
2353595,13012,FIRST COMMUNITY BANK,"BLUEFIELD, VA",Large Bank,"Sep 10, 2018",Satisfactory,"$2,344,033",Low Satisfactory,High Satisfactory,,2,6285,"Montgomery, VA"
3626858,58658,VCC BANK,"RICHMOND, VA",Limited Purpose,"Jan 06, 2020",Outstanding,"$214,190",,,,1,6285,"Montgomery, VA"
475653,17411,MOUNTAIN VALLEY BANK,"WALDEN, CO",Int Small Bank,"Jun 09, 2025",Satisfactory,"$571,946",,,Satisfactory,1,6271,"Larimer, CO"
9807,6423,AMBOY BANK,"OLD BRIDGE, NJ",Large Bank,"Jun 10, 2024",Satisfactory,"$2,638,667",Low Satisfactory,Low Satisfactory,,0,0,
964700,,BOSTON PRIVATE BANK & TRUST COMPANY,"BOSTON, MA",Large Bank,"Apr 23, 2018",Outstanding,"$8,167,632",Outstanding,Outstanding,,0,0,
299046,,CENTRAL BANK OF BOONE COUNTY,"COLUMBIA, MO",Large Bank,"Mar 26, 2018",Outstanding,"$1,879,308",High Satisfactory,Low Satisfactory,,0,0,
506249,,CENTRAL BANK OF ST. LOUIS,"CLAYTON, MO",Large Bank,"Jul 23, 2018",Satisfactory,"$1,855,708",Low Satisfactory,Outstanding,,0,0,
324340,1014,CHOICEONE BANK,"SPARTA, MI",Large Bank,"Oct 21, 2024",Satisfactory,"$2,724,240",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
60143,,COMERICA BANK,"DALLAS, TX",Large Bank,"Jun 23, 2025",Outstanding,"$77,698,000",Low Satisfactory,High Satisfactory,,0,0,
697633,,COMPASS BANK,"BIRMINGHAM, AL",Large Bank,"Apr 02, 2018",Outstanding,"$86,504,843",Needs to Improve,Low Satisfactory,,0,0,
403151,5496,CORNERSTONE BANK,"YORK, NE",Large Bank,"May 02, 2022",Satisfactory,"$2,056,362",Low Satisfactory,Outstanding,Satisfactory,0,0,
