name,rssd,location,overall,exam_date,public_date,method,assets,svc_rating,inv_rating,cd_rating
INTERBANK,1187001,"OKLAHOMA CITY, OK",Satisfactory,"Jul 10, 2023","Mar 04, 2024",Large Bank,"$4,193,164",Low Satisfactory,Needs to Improve,Satisfactory
MANUFACTURERS AND TRADERS TRUST COMPANY,501105,"BUFFALO, NY",Outstanding,"Sep 07, 2020","Jun 26, 2021",Large Bank,"$142,219,684",High Satisfactory,High Satisfactory,
NEEDHAM BANK,339773,"NEEDHAM, MA",Satisfactory,"Nov 07, 2022","Mar 26, 2023",Large Bank,"$3,279,317",Low Satisfactory,Low Satisfactory,Satisfactory
PACIFIC MERCANTILE BANK,2717012,"COSTA MESA, CA",Satisfactory,"Feb 18, 2020","Sep 01, 2020",Large Bank,"$1,437,734",High Satisfactory,Low Satisfactory,Satisfactory
PEOPLES BANK,577128,"MARIETTA, OH",Outstanding,"Mar 23, 2020","May 28, 2021",Large Bank,"$4,272,990",High Satisfactory,Outstanding,
POPULAR BANK,2736291,"NEW YORK, NY",Satisfactory,"Sep 15, 2025","Feb 22, 2026",Large Bank,"$14,864,258",High Satisfactory,Low Satisfactory,
SIMMONS BANK,663245,"PINE BLUFF, AR",Satisfactory,"Sep 06, 2022","May 15, 2023",Large Bank,"$27,171,310",Low Satisfactory,Low Satisfactory,
TEXAS COMMUNITY BANK,528960,"LAREDO, TX",Satisfactory,"Oct 23, 2023","Feb 12, 2024",Large Bank,"$1,955,717",Needs to Improve,Low Satisfactory,Satisfactory
UNITED BANK,365325,"FAIRFAX, VA",Satisfactory,"Oct 17, 2022","Sep 28, 2023",Large Bank,"$29,002,351",High Satisfactory,Needs to Improve,
UNIVEST BANK AND TRUST CO.,354310,"SOUDERTON, PA",Satisfactory,"Jan 13, 2020","Nov 06, 2020",Large Bank,"$5,134,013",Low Satisfactory,Needs to Improve,
WESTSTAR BANK,1447639,"EL PASO, TX",Outstanding,"Mar 20, 2023","Jul 10, 2023",Large Bank,"$2,790,209",High Satisfactory,Low Satisfactory,
"WHITAKER BANK, INC",1445943,"LEXINGTON, KY",Outstanding,"Nov 27, 2023","Jan 09, 2025",Large Bank,"$1,956,886",Low Satisfactory,Needs to Improve,
BANK OF UTAH,933975,"OGDEN, UT",Outstanding,"Jan 19, 2021","Jun 04, 2021",Large Bank,"$1,780,477",Low Satisfactory,Substantial Noncompliance,Satisfactory
CAPSTAR BANK,3715444,"NASHVILLE, TN",Satisfactory,"May 22, 2023","Mar 23, 2024",Large Bank,"$3,231,110",Needs to Improve,High Satisfactory,Satisfactory
CEDAR RAPIDS BANK AND TRUST COMPANY,3029589,"CEDAR RAPIDS, IA",Satisfactory,"Sep 10, 2018","Dec 22, 2018",Int Small Bank,"$1,346,942",High Satisfactory,High Satisfactory,Satisfactory
EAST CAMBRIDGE SAVINGS BANK,738303,"CAMBRIDGE, MA",Satisfactory,"Sep 11, 2023","Jan 20, 2024",Large Bank,"$1,604,208",,Low Satisfactory,
EAST WEST BANK,197478,"PASADENA, CA",Outstanding,"Mar 08, 2021","Oct 16, 2021",Large Bank,"$52,225,880",Low Satisfactory,Needs to Improve,
EASTHAMPTON SAVINGS BANK,859002,"EASTHAMPTON, MA",Satisfactory,"Oct 16, 2023","Feb 25, 2024",Large Bank,"$1,903,686",High Satisfactory,Low Satisfactory,
FIRST FARMERS BANK & TRUST CO.,139843,"CONVERSE, IN",Satisfactory,"Sep 20, 2021","Jan 24, 2022",Large Bank,"$2,298,100",High Satisfactory,Low Satisfactory,Satisfactory
FIRST NORTHERN BANK AND TRUST COMPANY,186717,"PALMERTON, PA",Satisfactory,"Mar 08, 2021","Aug 20, 2021",Large Bank,"$835,292",Low Satisfactory,Low Satisfactory,
ISABELLA BANK,74140,"MOUNT PLEASANT, MI",Satisfactory,"Nov 13, 2023","Jul 11, 2024",Large Bank,"$1,993,203",Low Satisfactory,Needs to Improve,Satisfactory
LAKE CITY BANK,874845,"WARSAW, IN",Satisfactory,"Mar 01, 2021","Jun 24, 2021",Large Bank,"$5,822,227",High Satisfactory,Low Satisfactory,
ORRSTOWN BANK,342410,"SHIPPENSBURG, PA",Satisfactory,"Jan 25, 2021","Oct 29, 2021",Large Bank,"$2,780,990",Low Satisfactory,Low Satisfactory,Satisfactory
PEAPACK-GLADSTONE BANK,236706,"BEDMINSTER, NJ",Satisfactory,"Jun 07, 2021","Nov 27, 2021",Large Bank,"$5,892,261",Low Satisfactory,Low Satisfactory,
PRIMIS BANK,3325759,"TAPPAHANNOCK, VA",Satisfactory,"Nov 29, 2021","May 16, 2022",Large Bank,"$3,452,990",Low Satisfactory,Low Satisfactory,Satisfactory
SANDY SPRING BANK,506922,"OLNEY, MD",Satisfactory,"Oct 12, 2021","Apr 25, 2022",Large Bank,"$12,912,358",Low Satisfactory,Low Satisfactory,
SMARTBANK,3532641,"PIGEON FORGE, TN",Satisfactory,"Sep 13, 2021","Jun 27, 2022",Large Bank,"$4,606,198",Low Satisfactory,Needs to Improve,Satisfactory
SYNOVUS BANK,395238,"COLUMBUS, GA",Satisfactory,"Mar 18, 2024","Jan 17, 2025",Large Bank,"$59,629,623",Low Satisfactory,Low Satisfactory,
AMERISERV FINANCIAL BANK,928618,"JOHNSTOWN, PA",Satisfactory,"Jun 09, 2025","Jan 19, 2026",Large Bank,"$1,426,921",Low Satisfactory,Low Satisfactory,
BANK IOWA,187947,"WEST DES MOINES, IA",Satisfactory,"Sep 09, 2024","Mar 03, 2025",Large Bank,"$2,117,855",Low Satisfactory,Low Satisfactory,Satisfactory
BANK OF NEW HAMPSHIRE,265407,"LACONIA, NH",Satisfactory,"Sep 12, 2022","Feb 12, 2023",Large Bank,"$2,374,786",High Satisfactory,Low Satisfactory,
METROPOLITAN COMMERCIAL BANK,2705895,"NEW YORK, NY",Satisfactory,"Nov 03, 2025","Apr 19, 2026",Large Bank,"$7,614,929",High Satisfactory,High Satisfactory,Satisfactory
SOUTHERN BANCORP BANK,852544,"ARKADELPHIA, AR",Outstanding,"Mar 17, 2025","Jul 19, 2025",Large Bank,"$2,739,322",Outstanding,Outstanding,Outstanding
VANTAGE BANK TEXAS,26765,"SAN ANTONIO, TX",Satisfactory,"May 06, 2019","Aug 16, 2019",Int Small Bank,"$1,916,572",Low Satisfactory,Low Satisfactory,Satisfactory
BANK OF HAWAII,795968,"HONOLULU, HI",Outstanding,"Mar 13, 2023","May 18, 2024",Large Bank,"$23,579,258",Outstanding,Outstanding,
BANKFIRST FINANCIAL SERVICES,914648,"MACON, MS",Satisfactory,"Oct 30, 2023","Mar 08, 2024",Large Bank,"$2,666,230",High Satisfactory,Low Satisfactory,Satisfactory
"FIRST BANK, THE",2385514,"HATTIESBURG, MS",Satisfactory,"Aug 28, 2023","Mar 11, 2024",Large Bank,"$6,463,617",Low Satisfactory,Low Satisfactory,
FIRST CITIZENS BANK,186744,"MASON CITY, IA",Satisfactory,"Nov 13, 2023","Feb 19, 2024",Large Bank,"$1,624,101",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST SECURITY BANK,673440,"SEARCY, AR",Satisfactory,"Nov 03, 2025","Mar 27, 2026",Large Bank,"$8,156,223",High Satisfactory,High Satisfactory,
FIRST STATE BANK,435750,"GAINESVILLE, TX",Outstanding,"Mar 01, 2021","Sep 09, 2021",Int Small Bank,"$1,310,944",High Satisfactory,Needs to Improve,Satisfactory
FVCBANK,3614976,"FAIRFAX, VA",Satisfactory,"Jul 31, 2023","Jul 04, 2024",Large Bank,"$2,338,667",High Satisfactory,Needs to Improve,Satisfactory
JOHN MARSHALL BANK,3419416,"RESTON, VA",Satisfactory,"Mar 15, 2021","Jul 17, 2021",Int Small Bank,"$1,883,780",High Satisfactory,High Satisfactory,Satisfactory
MABREY BANK,139553,"BIXBY, OK",Satisfactory,"Oct 07, 2019","Feb 21, 2020",Int Small Bank,"$1,159,367",Outstanding,High Satisfactory,Satisfactory
RAYMOND JAMES BANK,2193616,"SAINT PETERSBURG, FL",Satisfactory,"May 22, 2023","Sep 08, 2023",Large Bank,"$42,076,662",High Satisfactory,Outstanding,
UNITED BUSINESS BANK,3281510,"WALNUT CREEK, CA",Satisfactory,"Sep 09, 2019","Jan 16, 2020",Int Small Bank,"$1,481,799",High Satisfactory,High Satisfactory,Satisfactory
BANCFIRST,1386251,"OKLAHOMA CITY, OK",Satisfactory,"Jul 15, 2024","Jan 13, 2025",Large Bank,"$10,648,000",Low Satisfactory,Low Satisfactory,
CENTRAL BANK,546544,"STORM LAKE, IA",Satisfactory,"Nov 16, 2020","Mar 05, 2021",Int Small Bank,"$1,479,440",Outstanding,Low Satisfactory,Satisfactory
CITIZENS & NORTHERN BANK,895710,"WELLSBORO, PA",Satisfactory,"Nov 04, 2024","Aug 29, 2025",Large Bank,"$2,656,955",Low Satisfactory,High Satisfactory,
COMMERCIAL BANK,497039,"HARROGATE, TN",Satisfactory,"Oct 06, 2025","Mar 20, 2026",Large Bank,"$2,238,247",Low Satisfactory,Needs to Improve,Satisfactory
COMMONWEALTH BUSINESS BANK,3337097,"LOS ANGELES, CA",Satisfactory,"Sep 23, 2024","Feb 13, 2025",Large Bank,"$1,654,826",Low Satisfactory,Low Satisfactory,Needs to Improve
FALL RIVER FIVE CENTS SAVINGS BANK,833404,"FALL RIVER, MA",Outstanding,"Mar 14, 2022","Aug 21, 2022",Int Small Bank,"$1,446,964",Outstanding,Outstanding,Outstanding
FIRST FINANCIAL BANK,470050,"ABILENE, TX",Outstanding,"Jun 03, 2024","Jan 20, 2025",Large Bank,"$13,132,970",Outstanding,Outstanding,
FIRST WESTERN BANK AND TRUST,687951,"MINOT, ND",Satisfactory,"Sep 23, 2024","Mar 24, 2025",Large Bank,"$2,208,449",Low Satisfactory,Low Satisfactory,Satisfactory
ORANGE BANK & TRUST COMPANY,176101,"MIDDLETOWN, NY",Satisfactory,"Nov 05, 2018","Jan 22, 2021",Int Small Bank,"$1,061,368",High Satisfactory,Low Satisfactory,Satisfactory
PCSB BANK,24006,"YORKTOWN HEIGHTS, NY",Satisfactory,"Jan 22, 2024","Aug 19, 2024",Large Bank,"$1,980,866",High Satisfactory,Low Satisfactory,
TEXAS FIRST BANK,473266,"TEXAS CITY, TX",Satisfactory,"May 28, 2024","Apr 24, 2025",Large Bank,"$2,179,880",High Satisfactory,Low Satisfactory,Satisfactory
THIRD COAST BANK,3630323,"HUMBLE, TX",Satisfactory,"Aug 12, 2024","Feb 16, 2025",Large Bank,"$4,650,798",Low Satisfactory,Low Satisfactory,Satisfactory
"ADIRONDACK TRUST COMPANY, THE",645317,"SARATOGA SPRINGS, NY",Satisfactory,"Mar 11, 2019","Aug 23, 2019",Int Small Bank,"$1,148,332",Low Satisfactory,Low Satisfactory,Outstanding
BANC OF CALIFORNIA,494261,"LOS ANGELES, CA",Outstanding,"Apr 14, 2025","Aug 30, 2025",Large Bank,"$33,458,298",High Satisfactory,Outstanding,
BUSEY BANK,416245,"CHAMPAIGN, IL",Satisfactory,"Oct 14, 2025","May 30, 2026",Large Bank,"$18,866,438",High Satisfactory,Outstanding,
CIBC BANK USA,1842065,"CHICAGO, IL",Outstanding,"Aug 04, 2025","May 31, 2026",Large Bank,"$60,355,912",Outstanding,Outstanding,
ENCORE BANK,2594240,"LITTLE ROCK, AR",Satisfactory,"Oct 20, 2025","Apr 16, 2026",Large Bank,"$3,705,306",Low Satisfactory,Low Satisfactory,
"FARMERS & MERCHANTS BANK, THE",677644,"STUTTGART, AR",Satisfactory,"Jun 03, 2019","Dec 16, 2019",Int Small Bank,"$1,048,367",,Low Satisfactory,Satisfactory
FIVE POINTS BANK,554857,"GRAND ISLAND, NE",Outstanding,"Oct 21, 2019","Jan 23, 2020",Int Small Bank,"$1,133,574",Low Satisfactory,Low Satisfactory,Satisfactory
MAINSTREET BANK,3248849,"FAIRFAX, VA",Satisfactory,"Jul 28, 2025","Dec 20, 2025",Large Bank,"$2,217,133",High Satisfactory,Outstanding,Satisfactory
OAKSTAR BANK,3374412,"SPRINGFIELD, MO",Satisfactory,"Jun 13, 2022","Dec 19, 2022",Int Small Bank,"$1,895,004",High Satisfactory,High Satisfactory,Outstanding
ONE COMMUNITY BANK,247140,"OREGON, WI",Satisfactory,"Nov 28, 2022","Apr 28, 2023",Int Small Bank,"$1,780,838",Needs to Improve,Low Satisfactory,Satisfactory
TEXAS REGIONAL BANK,380458,"HARLINGEN, TX",Satisfactory,"May 28, 2019","Aug 25, 2019",Int Small Bank,"$866,562",High Satisfactory,Low Satisfactory,Satisfactory
GUARANTY BANK,3804535,"SPRINGFIELD, MO",Satisfactory,"May 01, 2023","Mar 31, 2024",Int Small Bank,"$2,148,808",High Satisfactory,High Satisfactory,Satisfactory
TRUNORTH BANK,161273,"PEABODY, MA",Outstanding,"Mar 02, 2026","Jul 25, 2026",Large Bank,"$3,233,778",High Satisfactory,High Satisfactory,
1880 BANK,746223,"CAMBRIDGE, MD",Satisfactory,"Feb 05, 2018","Sep 06, 2018",Int Small Bank,"$354,590",,,Satisfactory
AMERICAN NATION BANK,256058,"ARDMORE, OK",Satisfactory,"Sep 27, 2021","Dec 31, 2021",Int Small Bank,"$566,443",,,Satisfactory
AUBURNBANK,749635,"AUBURN, AL",Satisfactory,"Mar 03, 2025","Jun 22, 2025",Int Small Bank,"$976,852",High Satisfactory,High Satisfactory,Satisfactory
"BANK AND TRUST, SSB, THE",623454,"DEL RIO, TX",Satisfactory,"Oct 04, 2021","Apr 28, 2022",Int Small Bank,"$546,252",High Satisfactory,,Satisfactory
BANK OF BLUE VALLEY,1421161,"OVERLAND PARK, KS",Satisfactory,"Nov 13, 2018","Jan 28, 2019",Int Small Bank,"$708,066",Low Satisfactory,Low Satisfactory,Satisfactory
BANK OF PONTIAC,930442,"PONTIAC, IL",Satisfactory,"Jun 21, 2021","Sep 24, 2021",Int Small Bank,"$673,841",,,Satisfactory
BANK OF THE JAMES,2787770,"LYNCHBURG, VA",Satisfactory,"May 27, 2025","Nov 20, 2025",Int Small Bank,"$1,002,624",,,Satisfactory
