name,hq,exam_date,exam_year,rating,ma_originations_2024,pe_url
"Norwich Commercial Group, Inc.","Avon, CT",6/12/2023,2023,HS,209,https://www.mass.gov/doc/norwich-commercial-group-inc-mlci-performance-evaluation/download
First Home Mortgage Corporation,"Baltimore, MD",12/30/2015,2015,S,206,https://www.mass.gov/doc/first-home-mortgage-corporation/download
"Embrace Home Loans, Inc.","Middletown, RI",7/24/2024,2024,S,201,https://www.mass.gov/doc/embrace-home-loans-inc-mlci-performance-evaluation/download
"William Raveis Mortgage, LLC","Shelton, CT",6/17/2024,2024,S,197,https://www.mass.gov/doc/william-raveis-mortgage-llc-mlci-performance-evaluation-0/download
"Paramount Residential Mortgage Group, Inc.","Corona, CA",7/12/2023,2023,S,186,https://www.mass.gov/doc/paramount-residential-mortgage-group-inc-mlci-performance-evaluation/download
"American Financial Network, Inc.","Brea, CA",9/27/2023,2023,S,173,https://www.mass.gov/doc/american-financial-network-inc-mlci-performance-evaluation/download
"Drew Mortgage Associates, Inc.","Shrewsbury, MA",5/1/2025,2025,S,171,https://www.mass.gov/doc/drew-mortgage-associates-inc-mlci-performance-evaluation/download
"HomeBridge Financial Services, Inc.","Iselin, NJ",8/17/2021,2021,S,163,https://www.mass.gov/doc/homebridge-financial-services-inc-mlci-performance-evaluation/download
Homestead Funding Corp.,"Albany, NY",12/20/2023,2023,S,163,https://www.mass.gov/doc/homestead-funding-corp-mlci-performance-evaluation/download
"Envoy Mortgage, LTD","Houston, TX",4/14/2021,2021,S,162,https://www.mass.gov/doc/envoy-mortgage-ltd-mlci-performance-evaluation/download
"Longbridge Financial, LLC","Mahwah, NJ",12/5/2022,2022,S,162,https://www.mass.gov/doc/longbridge-financial-llc-mlci-performance-evaluation/download
Finance of America Reverse LLC d/b/a FAR,"Tulsa, OK",9/7/2022,2022,S,150,https://www.mass.gov/doc/finance-of-america-reverse-llc-mlci-performance-evaluation/download
"Sierra Pacific Mortgage Company, Inc.","Folsom, CA",4/26/2024,2024,S,144,https://www.mass.gov/doc/sierra-pacific-mortgage-company-inc-mlci-performance-evaluation/download
"Member Advantage Mortgage, LLC","Grand Rapids, MI",10/3/2019,2019,S,139,https://www.mass.gov/doc/member-advantage-mortgage-llc-mlci-public-evaluation-0/download
"Plaza Home Mortgage, Inc.","San Diego, CA",6/29/2021,2021,S,135,https://www.mass.gov/doc/plaza-home-mortgage-inc-mlci-performance-evaluation/download
"Ark-La-Tex Financial Services, LLC","Plano, TX",4/6/2015,2015,S,125,https://www.mass.gov/doc/ark-la-tex-financial-services-llc-mlci-public-evaluation/download
"Cardinal Financial Company, Limited Partnership","Charlotte, NC",10/21/2024,2024,S,124,https://www.mass.gov/doc/cardinal-financial-company-limited-partnership-mlci-performance-evaluation/download
"Pulte Mortgage, LLC","Englewood, CO",11/7/2023,2023,S,124,https://www.mass.gov/doc/pulte-mortgage-llc-mlci-performance-evaluation/download
