Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
901949,Walgreens 11499,158 Main St,,North Reading,MA,01864,3116,MIDDLESEX,Other,42.581963,-71.112679,,,67122
1587692,El Barrio Convenience,3119 Washington St,,Roxbury,MA,02119,3116,SUFFOLK,Convenience Store,42.314907,-71.099464,,,67162
1585221,Dee's Delux Caribbean Market,238 E Ashland St,,Brockton,MA,02302,2000,PLYMOUTH,Other,42.096188,-71.009262,,,67163
857008,Rotary Variety,309 Old Colony Ave,,South Boston,MA,02127,3521,SUFFOLK,Convenience Store,42.329681,-71.052696,,,67317
1578463,Pure Food Market Inc.,31 College Hwy,,Southampton,MA,01073,9642,HAMPSHIRE,Grocery Store,42.249599,-72.70182,,,67338
855197,East Boston Farmers Market,200 Border St,,East Boston,MA,02128,1618,SUFFOLK,Farmers and Markets,42.374672,-71.040733,,,67418
855584,Neighbor Food Dairy Mart,324 College St,,Amherst,MA,01002,2331,HAMPSHIRE,Grocery Store,42.373306,-72.503098,,,67557
857585,DOLLAR TREE 1179,350 Timpany Blvd,,Gardner,MA,01440,5200,WORCESTER,Other,42.558956,-71.98912,,,67575
1588482,Quality Fuel & Mart,1112 Bay St,,Springfield,MA,01109,2427,HAMPDEN,Convenience Store,42.132252,-72.547562,,,67719
857655,CVS Pharmacy Inc 109,1010 Revere Beach Pkwy,,Chelsea,MA,02150,1454,SUFFOLK,Other,42.403851,-71.023514,,,67791
857659,CVS Pharmacy Inc 496,324 Broadway,,Chelsea,MA,02150,2808,SUFFOLK,Other,42.391594,-71.036255,,,67804
901300,Cumberland Farms 6,68 Main St,,Westminster,MA,01473,1426,WORCESTER,Convenience Store,42.548065,-71.915794,,,67977
901304,Cumberland Farms 0119,616 Chandler St,,Worcester,MA,01602,1733,WORCESTER,Convenience Store,42.275593,-71.852234,,,67983
