rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
1560,Stewart,TN,2319,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1562,Amador,CA,2308,MODELED,2,3,Bank of Stockton,4320510,FDIC,Low Satisfactory,High Satisfactory,"Bank of Stockton(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Bank of Marin(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1568,Pasquotank,NC,2289,survey-weighted,1,1,Southern Bank and Trust Company,4758607,FDIC,High Satisfactory,Low Satisfactory,"Southern Bank and Trust Company(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1571,Brookings,SD,2281,survey-weighted,1,1,CENTRAL BANK,2135960,FED,Low Satisfactory,-,"CENTRAL BANK(FED,1br,inv=Low Satisfactory,svc=-)"
1573,Tillamook,OR,2279,survey-weighted,1,2,1st Security Bank of Washington,2632273,FDIC,Outstanding,Low Satisfactory,"1st Security Bank of Washington(FDIC,2br,inv=Outstanding,svc=Low Satisfactory)"
1574,Starke,IN,2276,survey-weighted,1,2,FIRST FARMERS BANK & TRUST CO.,2298100,FED,Low Satisfactory,-,"FIRST FARMERS BANK & TRUST CO.(FED,2br,inv=Low Satisfactory,svc=-)"
1575,Huntingdon,PA,2276,survey-weighted,1,1,Farmers and Merchants Trust Company of Chambersburg,1827377,FDIC,Low Satisfactory,High Satisfactory,"Farmers and Merchants Trust Company of Chambersburg(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1576,Union,SD,2268,survey-weighted,1,1,CENTRAL BANK,2135960,FED,Low Satisfactory,-,"CENTRAL BANK(FED,1br,inv=Low Satisfactory,svc=-)"
1578,Desha,AR,2267,survey-weighted,1,1,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1579,Drew,AR,2267,survey-weighted,1,1,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1582,Clarke,AL,2261,survey-weighted,1,2,SMARTBANK,4606198,FED,Low Satisfactory,Low Satisfactory,"SMARTBANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1585,Genesee,NY,2257,survey-weighted,1,4,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory)"
1586,Nicholas,WV,2257,survey-weighted,1,3,FIRST COMMUNITY BANK,3213604,FED,-,Low Satisfactory,"FIRST COMMUNITY BANK(FED,3br,inv=-,svc=Low Satisfactory)"
1587,Allen,KY,2256,survey-weighted,1,1,"South Central Bank,  Inc.",1845172,FDIC,Low Satisfactory,Low Satisfactory,"South Central Bank,  Inc.(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1589,Hart,KY,2256,survey-weighted,1,2,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1590,Logan,KY,2256,survey-weighted,2,2,INDEPENDENCE BANK OF KENTUCKY,3062572,FED,-,Low Satisfactory,"INDEPENDENCE BANK OF KENTUCKY(FED,1br,inv=-,svc=Low Satisfactory); South Central Bank,  Inc.(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1594,Ketchikan Gateway Borough,AK,2254,survey-weighted,1,1,Northrim Bank,2564795,FDIC,High Satisfactory,Low Satisfactory,"Northrim Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1597,Warren,IA,2253,survey-weighted,1,1,Luana Savings Bank,2063244,FDIC,Low Satisfactory,Low Satisfactory,"Luana Savings Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1598,Leon,TX,2249,survey-weighted,1,1,b1BANK,5531431,FDIC,Low Satisfactory,Low Satisfactory,"b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1599,Robertson,TX,2249,survey-weighted,1,1,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1600,DeKalb,TN,2249,survey-weighted,2,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Citizens Bank of Lafayette(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1601,Macon,TN,2249,survey-weighted,1,4,Citizens Bank of Lafayette,1659215,FDIC,High Satisfactory,Low Satisfactory,"Citizens Bank of Lafayette(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
1602,Smith,TN,2249,survey-weighted,1,2,Citizens Bank of Lafayette,1659215,FDIC,High Satisfactory,Low Satisfactory,"Citizens Bank of Lafayette(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1603,Colusa,CA,2248,MODELED,1,1,First Northern Bank of Dixon,1903284,FDIC,Low Satisfactory,High Satisfactory,"First Northern Bank of Dixon(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1606,Staunton city,VA,2241,survey-weighted,1,2,FIRST BANK AND TRUST COMPANY THE,3087425,FED,Low Satisfactory,Low Satisfactory,"FIRST BANK AND TRUST COMPANY THE(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1607,Pettis,MO,2240,survey-weighted,3,7,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,5br,inv=Low Satisfactory,svc=-); EQUITY BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1609,Ripley,IN,2233,survey-weighted,1,3,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,3br,inv=-,svc=Low Satisfactory)"
1610,Henry,OH,2233,survey-weighted,1,5,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,5br,inv=-,svc=Low Satisfactory)"
1613,Franklin Parish,LA,2232,survey-weighted,1,1,b1BANK,5531431,FDIC,Low Satisfactory,Low Satisfactory,"b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1614,Richland Parish,LA,2232,survey-weighted,1,2,b1BANK,5531431,FDIC,Low Satisfactory,Low Satisfactory,"b1BANK(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1615,Union Parish,LA,2232,survey-weighted,1,3,ORIGIN BANK,9882221,FED,Low Satisfactory,Low Satisfactory,"ORIGIN BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
1617,McDonough,IL,2230,survey-weighted,1,2,Morton Community Bank,5467281,FDIC,High Satisfactory,Low Satisfactory,"Morton Community Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1618,Botetourt,VA,2228,survey-weighted,1,1,HOMETRUST BANK,3409271,FED,Low Satisfactory,Low Satisfactory,"HOMETRUST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1620,Taos,NM,2227,survey-weighted,1,3,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,3br,inv=-,svc=Low Satisfactory)"
1623,Putnam,WV,2217,survey-weighted,1,1,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1627,Daviess,IN,2209,survey-weighted,1,3,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
1630,Talbot,MD,2201,survey-weighted,1,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
1632,Tioga,PA,2196,survey-weighted,2,10,Citizens & Northern Bank,2311213,FDIC,Low Satisfactory,Low Satisfactory,"Citizens & Northern Bank(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST CITIZENS COMMUNITY BANK(FED,4br,inv=Low Satisfactory,svc=-)"
1636,Avery,NC,2189,survey-weighted,2,2,FIRST COMMUNITY BANK,3213604,FED,-,Low Satisfactory,"FIRST COMMUNITY BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank of Tennessee(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1639,McKean,PA,2183,survey-weighted,1,7,Hamlin Bank and Trust Company,421614,FDIC,Low Satisfactory,Low Satisfactory,"Hamlin Bank and Trust Company(FDIC,7br,inv=Low Satisfactory,svc=Low Satisfactory)"
1640,Webster,MO,2182,survey-weighted,2,2,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,1br,inv=Low Satisfactory,svc=-)"
1641,Mahaska,IA,2181,survey-weighted,2,3,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); BANK IOWA(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1642,Eagle,CO,2181,survey-weighted,2,3,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); NBH BANK(FED,2br,inv=-,svc=Low Satisfactory)"
1644,Clay,MS,2166,survey-weighted,1,1,BANKFIRST FINANCIAL SERVICES,2666230,FED,Low Satisfactory,-,"BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
1645,Winston,MS,2166,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1646,Elbert,GA,2157,survey-weighted,2,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Pinnacle Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
1647,Oglethorpe,GA,2157,survey-weighted,1,1,Pinnacle Bank,2130759,FDIC,Low Satisfactory,High Satisfactory,"Pinnacle Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1648,Champaign,OH,2154,survey-weighted,1,1,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1650,Russell,VA,2153,survey-weighted,2,3,FIRST BANK AND TRUST COMPANY THE,3087425,FED,Low Satisfactory,Low Satisfactory,"FIRST BANK AND TRUST COMPANY THE(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); BANK OF MARION THE(FED,1br,inv=Low Satisfactory,svc=-)"
1654,Ben Hill,GA,2146,survey-weighted,1,1,Colony Bank,3091464,FDIC,Low Satisfactory,High Satisfactory,"Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1656,Brooks,GA,2146,survey-weighted,2,2,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1657,Madison,OH,2144,survey-weighted,1,1,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1658,Union,TN,2143,survey-weighted,1,2,COMMERCIAL BANK,2238247,FED,Low Satisfactory,Low Satisfactory,"COMMERCIAL BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1662,Newton,MS,2130,survey-weighted,2,3,BankPlus,7790270,FDIC,Outstanding,Low Satisfactory,"BankPlus(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,2br,inv=Low Satisfactory,svc=-)"
1664,Hickman,TN,2128,survey-weighted,1,2,FIRST FARMERS AND MERCHANTS BANK,1763096,FED,Low Satisfactory,Low Satisfactory,"FIRST FARMERS AND MERCHANTS BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1666,Crisp,GA,2127,survey-weighted,3,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1667,Gray,TX,2124,survey-weighted,1,1,CENTENNIAL BANK,22808174,FED,-,Low Satisfactory,"CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1668,Grenada,MS,2124,survey-weighted,2,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1670,Lumpkin,GA,2108,survey-weighted,2,2,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Pinnacle Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1672,Union,GA,2108,survey-weighted,2,2,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Pinnacle Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1673,Decatur,IN,2108,survey-weighted,1,1,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1674,Jennings,IN,2108,survey-weighted,1,1,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1685,Jasper,GA,2086,survey-weighted,1,1,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1686,Montague,TX,2085,survey-weighted,1,1,FIRST STATE BANK,1657003,FED,Needs to Improve,-,"FIRST STATE BANK(FED,1br,inv=Needs to Improve,svc=-)"
1687,Bourbon,KY,2079,survey-weighted,1,2,"Traditional Bank, Inc.",2190086,FDIC,Low Satisfactory,High Satisfactory,"Traditional Bank, Inc.(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
1691,Yates,NY,2067,survey-weighted,1,1,Wayne Bank,2366498,FDIC,High Satisfactory,Low Satisfactory,"Wayne Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1692,Franklin,IL,2059,survey-weighted,1,2,Banterra Bank,2726883,FDIC,Low Satisfactory,Low Satisfactory,"Banterra Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1693,Stoddard,MO,2057,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1696,Adams,WI,2053,survey-weighted,1,2,ONE COMMUNITY BANK,2181049,FED,Low Satisfactory,Needs to Improve,"ONE COMMUNITY BANK(FED,2br,inv=Low Satisfactory,svc=Needs to Improve)"
1699,Malheur,OR,2043,survey-weighted,1,1,1st Security Bank of Washington,2632273,FDIC,Outstanding,Low Satisfactory,"1st Security Bank of Washington(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1700,Van Buren,AR,2041,survey-weighted,3,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1702,Morrison,MN,2039,survey-weighted,1,1,First International Bank & Trust,4876751,FDIC,Low Satisfactory,Low Satisfactory,"First International Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1703,Todd,MN,2039,survey-weighted,1,1,First International Bank & Trust,4876751,FDIC,Low Satisfactory,Low Satisfactory,"First International Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1708,Franklin,TX,2030,survey-weighted,1,1,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1713,Humphreys,MS,2019,survey-weighted,1,1,BankPlus,7790270,FDIC,Outstanding,Low Satisfactory,"BankPlus(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1714,Colorado,TX,2016,survey-weighted,1,1,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1717,Clay,IN,2013,survey-weighted,1,2,FIRST FARMERS BANK & TRUST CO.,2298100,FED,Low Satisfactory,-,"FIRST FARMERS BANK & TRUST CO.(FED,2br,inv=Low Satisfactory,svc=-)"
1718,Adair,MO,2013,survey-weighted,2,4,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); EQUITY BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
1720,Geneva,AL,2012,survey-weighted,1,1,BankPlus,7790270,FDIC,Outstanding,Low Satisfactory,"BankPlus(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1721,Henry,AL,2012,survey-weighted,1,1,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1724,Franklin,FL,2002,survey-weighted,1,5,CENTENNIAL BANK,22808174,FED,-,Low Satisfactory,"CENTENNIAL BANK(FED,5br,inv=-,svc=Low Satisfactory)"
1725,Dorchester,MD,2001,survey-weighted,1,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
1726,Tama,IA,2000,survey-weighted,1,3,Lincoln Savings Bank,1883919,FDIC,Low Satisfactory,Low Satisfactory,"Lincoln Savings Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
1728,Henry,MO,1996,survey-weighted,2,3,EQUITY BANK,3862184,FED,Low Satisfactory,Low Satisfactory,"EQUITY BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); Hawthorn Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1729,Vernon,MO,1996,survey-weighted,1,1,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1733,Teton,WY,1994,survey-weighted,1,4,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,4br,inv=-,svc=Low Satisfactory)"
1737,Franklin,KS,1983,survey-weighted,2,2,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1739,Butts,GA,1977,survey-weighted,2,2,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); United Bank(FDIC,1br,inv=Low Satisfactory,svc=Outstanding)"
1740,Pike,GA,1977,survey-weighted,1,1,United Bank,2120294,FDIC,Low Satisfactory,Outstanding,"United Bank(FDIC,1br,inv=Low Satisfactory,svc=Outstanding)"
1742,Martin,NC,1973,survey-weighted,1,1,Southern Bank and Trust Company,4758607,FDIC,High Satisfactory,Low Satisfactory,"Southern Bank and Trust Company(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1746,Smith,MS,1970,survey-weighted,2,2,Community Bank of Mississippi,4608467,FDIC,Low Satisfactory,High Satisfactory,"Community Bank of Mississippi(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
1748,Winchester city,VA,1965,survey-weighted,2,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1749,Covington,MS,1962,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1752,Wyoming,WV,1960,survey-weighted,2,5,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); FIRST COMMUNITY BANK(FED,2br,inv=-,svc=Low Satisfactory)"
1754,Carbon,UT,1956,survey-weighted,1,1,Cache Valley Bank,3281738,FDIC,High Satisfactory,Low Satisfactory,"Cache Valley Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1756,Martinsville city,VA,1954,survey-weighted,2,2,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1757,Pottawatomie,KS,1951,survey-weighted,1,1,KS StateBank,2437059,FDIC,Low Satisfactory,High Satisfactory,"KS StateBank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1758,Fulton,IN,1951,survey-weighted,1,2,LAKE CITY BANK,6412535,FED,Low Satisfactory,-,"LAKE CITY BANK(FED,2br,inv=Low Satisfactory,svc=-)"
1761,Bristol,RI,1942,survey-weighted,1,3,BANKNEWPORT,2301356,FED,Low Satisfactory,-,"BANKNEWPORT(FED,3br,inv=Low Satisfactory,svc=-)"
1762,Plaquemines Parish,LA,1935,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1763,Garrett,MD,1933,survey-weighted,1,1,Somerset Trust Company,2315834,FDIC,Low Satisfactory,High Satisfactory,"Somerset Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1766,Hertford,NC,1930,survey-weighted,1,2,Southern Bank and Trust Company,4758607,FDIC,High Satisfactory,Low Satisfactory,"Southern Bank and Trust Company(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1767,Boone,IL,1930,survey-weighted,1,2,MIDLAND STATES BANK,7782095,FED,Low Satisfactory,Low Satisfactory,"MIDLAND STATES BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1769,Radford city,VA,1928,survey-weighted,3,3,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST COMMUNITY BANK(FED,1br,inv=-,svc=Low Satisfactory); BANK OF MARION THE(FED,1br,inv=Low Satisfactory,svc=-)"
1770,Tillman,OK,1924,survey-weighted,1,2,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1774,Gloucester,VA,1922,survey-weighted,1,1,PRIMIS BANK,3831355,FED,Low Satisfactory,Low Satisfactory,"PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1777,Rockbridge,VA,1921,survey-weighted,1,1,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1778,Douglas,MN,1919,survey-weighted,1,3,FIRST WESTERN BANK AND TRUST,2208449,FED,Low Satisfactory,Low Satisfactory,"FIRST WESTERN BANK AND TRUST(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
1780,Ray,MO,1911,survey-weighted,2,2,CENTRAL TRUST BANK THE,19551204,FED,Low Satisfactory,-,"CENTRAL TRUST BANK THE(FED,1br,inv=Low Satisfactory,svc=-); NBH BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1789,Meriwether,GA,1885,survey-weighted,2,2,Colony Bank,3091464,FDIC,Low Satisfactory,High Satisfactory,"Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); United Bank(FDIC,1br,inv=Low Satisfactory,svc=Outstanding)"
1790,Cameron Parish,LA,1884,survey-weighted,1,1,b1BANK,5531431,FDIC,Low Satisfactory,Low Satisfactory,"b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1792,Simpson,KY,1880,survey-weighted,3,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); German American Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); South Central Bank,  Inc.(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1793,Bennington,VT,1879,survey-weighted,1,3,BROOKLINE BANK,4966140,FED,Low Satisfactory,Low Satisfactory,"BROOKLINE BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
1794,Lincoln,OK,1879,survey-weighted,2,7,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,6br,inv=High Satisfactory,svc=Low Satisfactory); International Bank of Commerce(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1795,Wright,MO,1879,survey-weighted,1,2,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1806,Monroe,GA,1852,survey-weighted,1,2,United Bank,2120294,FDIC,Low Satisfactory,Outstanding,"United Bank(FDIC,2br,inv=Low Satisfactory,svc=Outstanding)"
1810,Dawson,GA,1844,survey-weighted,1,1,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1814,Craig,OK,1838,survey-weighted,2,4,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,2br,inv=High Satisfactory,svc=Low Satisfactory); RCB BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1815,Page,IA,1838,survey-weighted,1,4,BANK IOWA,2117855,FED,Low Satisfactory,Low Satisfactory,"BANK IOWA(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
1816,Dakota,NE,1837,survey-weighted,1,1,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1820,Delta,CO,1833,survey-weighted,1,3,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
1822,Fannin,GA,1830,survey-weighted,1,1,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1823,Spencer,IN,1829,survey-weighted,1,1,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
