rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
42,Allegheny,PA,75711,survey-weighted,3,4,UNIVEST BANK AND TRUST CO.,6892885,FED,-,Low Satisfactory,"UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory); Union Savings Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); AMERISERV FINANCIAL BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
43,Hennepin,MN,74079,survey-weighted,4,5,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); First International Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST WESTERN BANK AND TRUST(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
44,Mecklenburg,NC,73486,survey-weighted,7,11,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); HOMETRUST BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); Peoples Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
45,Prince George's,MD,73007,survey-weighted,1,1,PRIMIS BANK,3831355,FED,Low Satisfactory,Low Satisfactory,"PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
46,Jefferson,KY,72858,survey-weighted,4,6,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory); INDEPENDENCE BANK OF KENTUCKY(FED,1br,inv=-,svc=Low Satisfactory); Traditional Bank, Inc.(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); South Central Bank,  Inc.(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
47,Lee,FL,71737,survey-weighted,4,10,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,6br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory); American Momentum Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Meridian Bank(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc)"
49,Oklahoma,OK,69136,survey-weighted,10,74,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,8br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,4br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,3br,inv=Low Satisfactory,svc=-); BancFirst(FDIC+FED,22br,inv=High Satisfactory,svc=Low Satisfactory); INTERBANK(FED,5br,inv=Low Satisfactory,svc=-); RCB BANK(FED,7br,inv=Low Satisfactory,svc=Low Satisfactory); EQUITY BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST FIDELITY BANK(FED,12br,inv=Low Satisfactory,svc=Low Satisfactory); Armstrong Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); International Bank of Commerce(FDIC,10br,inv=Outstanding,svc=Low Satisfactory)"
50,Fulton,GA,68787,survey-weighted,6,22,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,6br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,12br,inv=High Satisfactory,svc=Low Satisfactory); HOMETRUST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Shinhan Bank America(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); First Community Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
51,Pinellas,FL,66804,survey-weighted,6,22,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,9br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,3br,inv=-,svc=Low Satisfactory); The Bank of Tampa(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); American Momentum Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
52,Fort Bend,TX,66255,survey-weighted,5,16,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,12br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); TEXAS REGIONAL BANK(FED,1br,inv=Low Satisfactory,svc=-)"
