FIPS,State,County,GROCPTH16,GROCPTH20,PCH_GROCPTH_16_20,SUPERCPTH16,SUPERCPTH20,PCH_SUPERCPTH_16_20,CONVSPTH16,CONVSPTH20,PCH_CONVSPTH_16_20,SNAPSPTH17,SNAPSPTH23,PCH_SNAPSPTH_17_23,LACCESS_POP15,LACCESS_POP19,PCH_LACCESS_POP_15_19,PCT_LACCESS_POP15,PCT_LACCESS_POP19,PCT_SNAP17,PCT_SNAP22
6041,CA,Marin,0.2684852182865143,0.2914522886276245,8.554314642603856,0.00383550301194191,0.01554412208497524,305.2694532262999,0.1610911190509796,0.1904155015945435,18.20359974921008,0.4160998384140305,0.4568401277065277,9.79098892211914,32794.29494251122,30005.23941340341,-8.504697799682617,12.99252223968506,11.88754749298096,10.40064266441573,11.66618694212165
6043,CA,Mariposa,0.2857469320297241,0.2913752794265747,1.969696527228204,-9999.0,-9999.0,-9999.0,0.3428963422775269,0.1748251765966415,-49.01515267399823,0.5122659229324379,0.8172796368598938,59.54206466674805,3193.816860692749,1473.549707097402,-53.86242294311523,17.4994068145752,8.073802947998047,10.40064266441573,11.66618694212165
6045,CA,Mendocino,0.5268040299415588,0.4764062762260437,-9.566698592094303,-9999.0,-9999.0,-9999.0,0.4580904543399811,0.4764062762260437,3.998298089937746,1.045240746211002,1.108124375343323,6.016186237335205,15681.49397156103,12720.45722970342,-18.88236427307129,17.85213470458984,14.48122978210449,10.40064266441573,11.66618694212165
6047,CA,Merced,0.2543292045593262,0.1969547271728516,-22.55913845438506,0.01122040580958128,0.02506696432828903,123.4051490979405,0.2879904210567474,0.2721556127071381,-5.498380220948107,0.8419731082040879,0.9210386276245117,9.390503883361816,57891.34229203602,48440.6031061222,-16.32496070861816,22.63210487365723,18.93742370605469,10.40064266441573,11.66618694212165
6049,CA,Modoc,0.4465780854225159,0.5705808401107788,27.7673174604933,-9999.0,-9999.0,-9999.0,0.2232890427112579,0.3423485159873962,53.32078629138011,1.213455243255446,1.61830997467041,33.36379623413086,3013.024835633501,3927.026072476986,30.33500480651855,31.10700798034668,40.54331970214844,10.40064266441573,11.66618694212165
6051,CA,Mono,0.4208754301071167,0.4128251075744629,-1.912756591803166,-9999.0,-9999.0,-9999.0,0.7716049551963806,0.5504334568977356,-28.66382555077745,0.6352343308865048,0.6808381676673889,7.179057121276855,8121.35247601166,8108.47616985867,-0.1585487872362137,57.1845703125,57.09390258789063,10.40064266441573,11.66618694212165
6053,CA,Monterey,0.2584003210067749,0.2808037102222443,8.670031495387342,0.01153572835028172,0.01856553368270397,60.93941465126977,0.2837789058685303,0.2970485389232635,4.67604630940428,0.6173304681892123,0.6649771928787231,7.718187808990479,69969.91373513032,69023.30518215243,-1.352879405021667,16.8579044342041,16.62983703613281,10.40064266441573,11.66618694212165
6055,CA,Napa,0.2841353118419647,0.2721288502216339,-4.225614036670233,0.01420676521956921,0.02941933646798134,107.0797680773768,0.3125488460063934,0.3383223712444305,8.246239129454302,0.4528053835368002,0.5240784883499146,15.7403392791748,11081.32663669717,16492.9609815786,48.83561706542969,8.119139671325684,12.08417129516602,10.40064266441573,11.66618694212165
6057,CA,Nevada,0.2526809573173523,0.2911471128463745,15.22321109489506,-9999.0,-9999.0,-9999.0,0.363860547542572,0.2811075747013092,-22.74304631270326,0.5744017205335258,0.6743417978286743,17.39898681640625,34131.44882029116,34332.71650529443,0.5896839499473572,34.55859375,34.76237869262695,10.40064266441573,11.66618694212165
6059,CA,Orange,0.1567498743534088,0.1607271879911423,2.537363206279952,0.008532755076885223,0.02368278615176678,177.5514583316961,0.2076303660869598,0.2226181924343109,7.218513664361526,0.4364656469408224,0.4837449491024017,10.83230781555176,228007.7019449547,261040.9162567509,14.48776245117188,7.574422836303711,8.67178726196289,10.40064266441573,11.66618694212165
