Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
894067,CVS Pharmacy 9802,2170 Fremont St,,Monterey,CA,93940,5292,MONTEREY,Other,36.596474,-121.85973,,,88720
1674549,Jk Liquor 2,2450 N Brawley Ave,Ste 107,Fresno,CA,93722,5101,FRESNO,Convenience Store,36.773132,-119.86172,,,88725
1061901,Dollar Tree 4943,1700 N 1st St,,Dixon,CA,95620,9766,SOLANO,Other,38.462582,-121.8223,,,88734
894086,CVS Pharmacy 9832,3678 Sonoma Blvd,,Vallejo,CA,94590,2963,SOLANO,Other,38.124268,-122.2552,,,88749
914213,Mother's Nutritional Center 0418,3665 Crenshaw Blvd,,Los Angeles,CA,90016,4849,LOS ANGELES,Supermarket,34.020977,-118.33522,,,88772
914365,Mother's Nutritional Center 0423,4243 Maine Ave,,Baldwin Park,CA,91706,3312,LOS ANGELES,Supermarket,34.090008,-117.96051,,,88798
894096,CVS Pharmacy 9500,1455 E Noble Ave,,Visalia,CA,93292,3042,TULARE,Other,36.324371,-119.27653,,,88817
894098,CVS Pharmacy 3937,455 S Main St,,Red Bluff,CA,96080,4315,TEHAMA,Other,40.166069,-122.22821,,,88821
894100,CVS Pharmacy 3940,1107 N Willow Ave,,Clovis,CA,93611,4408,FRESNO,Other,36.849781,-119.72961,,,88827
894104,CVS Pharmacy 9241,1822 E Avenida de Los Arboles,,Thousand Oaks,CA,91362,1374,VENTURA,Other,34.210072,-118.84435,,,88837
894107,CVS Pharmacy 9910,3440 La Sierra Ave,,Riverside,CA,92503,5204,RIVERSIDE,Other,33.897701,-117.47355,,,88842
894110,CVS Pharmacy 9286,581 W Channel Islands Blvd,,Port Hueneme,CA,93041,2133,VENTURA,Other,34.176067,-119.21453,,,88847
894112,CVS Pharmacy 9920,30640 Rancho California Rd,,Temecula,CA,92591,3290,RIVERSIDE,Other,33.508289,-117.12566,,,88852
914836,Dollar Tree 4120,1167 S Sanderson Ave,,Hemet,CA,92545,9047,RIVERSIDE,Other,33.727951,-117.0103,,,88855
914838,Dollar Tree 4131,938 Admiral Callaghan Ln,,Vallejo,CA,94591,3680,SOLANO,Other,38.13311,-122.22128,,,88857
894125,CVS Pharmacy 9538,1792 Garnet Ave,,San Diego,CA,92109,3350,SAN DIEGO,Other,32.801525,-117.23779,,,88864
894201,L & M Liquors,22610 Vermont St,,Hayward,CA,94541,3214,ALAMEDA,Convenience Store,37.682423,-122.06521,,,88888
928408,Maxx For Less,7575 Skyway,,Paradise,CA,95969,3232,BUTTE,Convenience Store,39.770168,-121.61278,,,88917
928439,Super Discount,3229 Foothill Blvd,,Oakland,CA,94601,3112,ALAMEDA,Grocery Store,37.783447,-122.22208,,,88934
1670550,Mountain Mike's Pizza #338,18886 Brookhurst St,,Fountain Valley,CA,92708,7304,ORANGE,Restaurant Meals Program,33.688499,-117.95318,,,88941
928458,Party House & Liquor,6405 University Ave,,San Diego,CA,92115,5808,SAN DIEGO,Convenience Store,32.754734,-117.05804,,,88949
1667836,McDonald's #36463,6741 N Riverside Dr,,Fresno,CA,93722,9309,FRESNO,Restaurant Meals Program,36.835827,-119.9129,,,88975
1060590,Historic Los Angeles Farmers' Market,Fifth Street Between Spring Street And,Broadway,Los Angeles,CA,90013,    ,LOS ANGELES,Farmers and Markets,34.0481,-118.24899,,California Department of Food and Agriculture,88981
1113121,Walmart Neighborhood Market 3090,5609 Pacific St,,Rocklin,CA,95677,3174,PLACER,Super Store,38.783947,-121.24072,,,89042
1113122,Walmart Neighborhood Market 5633,1830 Shaw Ave,,Clovis,CA,93611,4000,FRESNO,Super Store,36.808483,-119.68028,,,89043
1112633,Smart & Final 451,1180 S King Rd,,San Jose,CA,95122,2143,SANTA CLARA,Super Store,37.338364,-121.84148,,,89100
1634739,Popeyes #13913,2934 W Manchester Blvd,,Inglewood,CA,90305,2439,LOS ANGELES,Restaurant Meals Program,33.95974,-118.32523,,,89118
1398254,Punjabi Bazaar 01,3831 Railroad Ave,,Pittsburg,CA,94565,6527,CONTRA COSTA,Convenience Store,38.003418,-121.89439,,,89126
1650753,Tierra Santa Market,2890 San Bruno Ave,,San Francisco,CA,94134,1511,SAN FRANCISCO,Convenience Store,37.725452,-122.40284,,,89129
1113894,Joy Bargain,7768 S Central Ave,,Los Angeles,CA,90001,2942,LOS ANGELES,Grocery Store,33.96841,-118.25639,,,89153
1635320,Dino Mart,6224 S Figueroa St,Bldg 101,Los Angeles,CA,90003,1024,LOS ANGELES,Convenience Store,33.982578,-118.28234,,,89158
1631061,Viking Express Store,4901 E Carson St,,Long Beach,CA,90808,1780,LOS ANGELES,Convenience Store,33.834862,-118.13508,,,89164
1643469,Paramount Night Farmers Market,16400 Colorado Ave,,Paramount,CA,90723,5050,LOS ANGELES,Farmers and Markets,33.885365,-118.16136,,,89168
1077556,Grandlake Farmers Market/Ag Institute of Marin,Grand Avenue and Lake Park Avenue,,Oakland,CA,94610,    ,ALAMEDA,Farmers and Markets,37.811371,-122.24799,,California Department of Food and Agriculture,89179
1602462,7 Eleven Store 39904 A,841 Inland Center Dr,,San Bernardino,CA,92408,1807,SAN BERNARDINO,Convenience Store,34.084206,-117.30145,,,89187
1077561,Stonestown Farmers Market/Ag Institute of Marin,3251 20th Avenue,,San Francisco,CA,94132,    ,SAN FRANCISCO,Farmers and Markets,37.727921,-122.477,,California Department of Food and Agriculture,89221
