geoid,county,state,pop_poverty_universe,pop_under_130_fpl,pop_under_200_fpl,snap_hh,poor_hh,eligible_unenrolled,method
48299,"Llano County, TX",TX,22175,3865,6950,811.0,1095.0,689,FNS state total allocated by share of under-130% FPL population
28161,"Yalobusha County, MS",MS,12150,3527,6075,588.0,1096.0,688,FNS state total allocated by share of under-130% FPL population
51027,"Buchanan County, VA",VA,18183,5782,9521,2056.0,1876.0,687,FNS state total allocated by share of under-130% FPL population
28103,"Noxubee County, MS",MS,9853,3518,5671,1235.0,1199.0,686,FNS state total allocated by share of under-130% FPL population
48003,"Andrews County, TX",TX,18419,3846,5857,891.0,1150.0,686,FNS state total allocated by share of under-130% FPL population
49039,"Sanpete County, UT",UT,26938,5920,11128,647.0,1051.0,686,FNS state total allocated by share of under-130% FPL population
24011,"Caroline County, MD",MD,33177,6445,11379,2202.0,1500.0,685,FNS state total allocated by share of under-130% FPL population
16031,"Cassia County, ID",ID,25130,4642,9257,779.0,1051.0,682,FNS state total allocated by share of under-130% FPL population
21197,"Powell County, KY",KY,12652,4136,6034,1100.0,1348.0,682,FNS state total allocated by share of under-130% FPL population
48337,"Montague County, TX",TX,20767,3823,6921,837.0,1357.0,682,FNS state total allocated by share of under-130% FPL population
13129,"Gordon County, GA",GA,58439,10816,21460,2182.0,2611.0,680,FNS state total allocated by share of under-130% FPL population
20055,"Finney County, KS",KS,37313,6306,10978,1503.0,1493.0,680,FNS state total allocated by share of under-130% FPL population
05129,"Searcy County, AR",AR,7750,2412,4098,402.0,773.0,679,FNS state total allocated by share of under-130% FPL population
47097,"Lauderdale County, TN",TN,22619,6387,9811,2117.0,2215.0,679,FNS state total allocated by share of under-130% FPL population
51197,"Wythe County, VA",VA,27862,5686,9944,1651.0,2135.0,675,FNS state total allocated by share of under-130% FPL population
01059,"Franklin County, AL",AL,31559,8849,13824,2386.0,2312.0,674,FNS state total allocated by share of under-130% FPL population
37157,"Rockingham County, NC",NC,90153,20059,33906,7022.0,6501.0,674,FNS state total allocated by share of under-130% FPL population
05105,"Perry County, AR",AR,9997,2393,4019,355.0,661.0,673,FNS state total allocated by share of under-130% FPL population
19153,"Polk County, IA",IA,494334,71791,121569,20165.0,20265.0,672,FNS state total allocated by share of under-130% FPL population
36021,"Columbia County, NY",NY,59845,10382,15836,2592.0,3119.0,670,FNS state total allocated by share of under-130% FPL population
18085,"Kosciusko County, IN",IN,78737,11045,20957,1652.0,3194.0,669,FNS state total allocated by share of under-130% FPL population
05127,"Scott County, AR",AR,9728,2370,4726,501.0,887.0,667,FNS state total allocated by share of under-130% FPL population
09120,"Greater Bridgeport Planning Region, CT",CT,320005,51406,82778,16948.0,15253.0,666,FNS state total allocated by share of under-130% FPL population
22051,"Jefferson Parish, LA",LA,427493,95146,148140,24876.0,28620.0,664,FNS state total allocated by share of under-130% FPL population
06105,"Trinity County, CA",CA,15734,4796,7253,619.0,1015.0,663,FNS state total allocated by share of under-130% FPL population
47111,"Macon County, TN",TN,25872,6239,10443,1663.0,1459.0,663,FNS state total allocated by share of under-130% FPL population
13157,"Jackson County, GA",GA,83924,10525,21853,2125.0,2172.0,662,FNS state total allocated by share of under-130% FPL population
12079,"Madison County, FL",FL,16408,4540,8423,1197.0,1455.0,658,FNS state total allocated by share of under-130% FPL population
13047,"Catoosa County, GA",GA,67967,10416,19886,3146.0,2750.0,655,FNS state total allocated by share of under-130% FPL population
48371,"Pecos County, TX",TX,12708,3672,4910,705.0,963.0,655,FNS state total allocated by share of under-130% FPL population
05097,"Montgomery County, AR",AR,8449,2326,4074,373.0,892.0,654,FNS state total allocated by share of under-130% FPL population
37089,"Henderson County, NC",NC,117036,19421,33951,4687.0,5847.0,653,FNS state total allocated by share of under-130% FPL population
47185,"White County, TN",TN,27812,6142,11596,1463.0,1472.0,653,FNS state total allocated by share of under-130% FPL population
21079,"Garrard County, KY",KY,17394,3953,6581,830.0,991.0,652,FNS state total allocated by share of under-130% FPL population
16075,"Payette County, ID",ID,26505,4430,9874,1516.0,1024.0,651,FNS state total allocated by share of under-130% FPL population
48019,"Bandera County, TX",TX,21663,3648,6358,670.0,1212.0,650,FNS state total allocated by share of under-130% FPL population
33001,"Belknap County, NH",NH,63634,7026,12192,1812.0,2475.0,649,FNS state total allocated by share of under-130% FPL population
48503,"Young County, TX",TX,17779,3627,5821,863.0,1111.0,647,FNS state total allocated by share of under-130% FPL population
18043,"Floyd County, IN",IN,79363,10655,17389,2417.0,3396.0,645,FNS state total allocated by share of under-130% FPL population
21005,"Anderson County, KY",KY,24206,3908,7440,724.0,967.0,645,FNS state total allocated by share of under-130% FPL population
21213,"Simpson County, KY",KY,19493,3907,6749,955.0,1516.0,645,FNS state total allocated by share of under-130% FPL population
28097,"Montgomery County, MS",MS,9441,3306,4606,831.0,1116.0,645,FNS state total allocated by share of under-130% FPL population
39113,"Montgomery County, OH",OH,519255,100750,164729,31126.0,34019.0,644,FNS state total allocated by share of under-130% FPL population
49047,"Uintah County, UT",UT,36539,5553,11602,1603.0,1562.0,644,FNS state total allocated by share of under-130% FPL population
04012,"La Paz County, AZ",AZ,16517,4204,6803,1036.0,1678.0,643,FNS state total allocated by share of under-130% FPL population
45009,"Bamberg County, SC",SC,12282,3597,5633,1117.0,1269.0,643,FNS state total allocated by share of under-130% FPL population
13299,"Ware County, GA",GA,33751,10172,15483,2835.0,3107.0,640,FNS state total allocated by share of under-130% FPL population
47103,"Lincoln County, TN",TN,35408,6000,11152,1273.0,2110.0,638,FNS state total allocated by share of under-130% FPL population
48445,"Terry County, TX",TX,10860,3577,5799,1146.0,725.0,638,FNS state total allocated by share of under-130% FPL population
48233,"Hutchinson County, TX",TX,19904,3570,6121,478.0,978.0,637,FNS state total allocated by share of under-130% FPL population
28147,"Walthall County, MS",MS,13609,3261,5669,1103.0,1228.0,636,FNS state total allocated by share of under-130% FPL population
12029,"Dixie County, FL",FL,15416,4378,6621,1075.0,1250.0,635,FNS state total allocated by share of under-130% FPL population
36057,"Montgomery County, NY",NY,48739,9838,15262,3014.0,2923.0,635,FNS state total allocated by share of under-130% FPL population
56041,"Uinta County, WY",WY,20345,3093,5729,528.0,781.0,635,FNS state total allocated by share of under-130% FPL population
36033,"Franklin County, NY",NY,42965,9806,15062,3410.0,3248.0,633,FNS state total allocated by share of under-130% FPL population
51149,"Prince George County, VA",VA,34886,5331,8926,1425.0,1203.0,633,FNS state total allocated by share of under-130% FPL population
