STATE,SA,SFC,EA_AD,EA_PEFD,EA_FID,EA_PEXD,EA_LID,EA_AM,SCH1920,SCH1920_YN,SCH2021,SCH2021_YN,CC2021,CC2021_YN,SUSCH2021,SUSCH2021_YN,SUCC2021,SUCC2021_YN,SCH2122,SCH2122_YN,CC2122,CC2122_YN,SUSCH2122,SUSCH2122_YN,SUCC2122,SUCC2122_YN,SCH2223,SCH2223_YN,CC2223,CC2223_YN,SUSCH2223,SUSCH2223_YN,SUCC2223,SUCC2223_YN,TSCC_ST,TSCC_EX,SATLW_Q1,WIRI_ST,WIRI_EX,WFFI_ST,WFFI_EX,PESI_ST,PESI_EX,ECP_ST,ECP_EX,APR_ST,APR_EX,PRRH_ST,PRRH_EX
New Mexico,NM,35, 3/27/2020, 3/31/2020, 3/31/2020, 2/28/2023, 2/28/2023,95, 4/28/2020,1, 1/28/2021,1, 9/15/2021,1,  8/3/2021,1, 11/9/2021,1,11/17/2021,1, 6/23/2022,1, 6/21/2022,1, 6/21/2022,1,,0, 3/13/2023,1, 3/15/2023,1,,0,,,1, 11/2/2020, 6/30/2021, 11/2/2020, 6/30/2021,,,10/30/2020, 6/30/2021,10/30/2020,12/31/2020, 11/1/2020,12/31/2021
Washington,WA,53, 3/27/2020, 3/31/2020, 3/31/2020, 2/28/2023, 2/20/2023,95, 5/22/2020,1, 2/23/2021,1,  6/4/2021,1, 6/16/2021,1, 6/16/2021,1,,0,  7/8/2022,1,  7/8/2022,1,  7/8/2022,1,,0, 6/21/2023,1, 6/23/2023,1,,0,,,1,,,,,,, 11/1/2020, 6/30/2021, 11/1/2020, 6/30/2021,,
Alabama,AL,1, 3/24/2020, 3/31/2020, 3/31/2020, 2/28/2023, 2/28/2023,95, 4/21/2020,1, 4/13/2021,1, 4/13/2021,1, 6/16/2021,1, 6/16/2021,1, 4/27/2022,1, 4/27/2022,1, 5/25/2022,1, 5/25/2022,1,,0, 1/17/2023,1,  3/8/2023,1,,0,,,0, 11/1/2020, 6/30/2021, 11/1/2020, 6/30/2021, 11/1/2020, 6/30/2021,,,,,,
Delaware,DE,10, 3/26/2020, 3/31/2020, 3/31/2020, 2/28/2023, 2/27/2023,95, 4/30/2020,1, 2/17/2021,1,  4/7/2021,1,  7/1/2021,1,  7/1/2021,1, 1/24/2022,1, 5/12/2022,1,  7/5/2022,1,  7/5/2022,1,  8/9/2023,1, 4/13/2023,1, 5/15/2023,1,,0, 4/13/2020, 9/30/2020,0, 12/1/2020, 6/30/2021, 12/1/2020, 6/30/2021, 12/1/2020, 6/30/2021,,,,,,
Oklahoma,OK,40, 3/30/2020, 3/30/2020, 3/30/2020, 2/28/2023, 2/15/2023,95, 6/25/2020,1, 6/14/2021,1, 11/2/2021,1, 10/7/2021,1, 10/7/2021,1, 5/13/2022,1, 5/31/2022,1, 6/16/2022,1, 6/16/2022,1,,0, 3/23/2023,1, 3/23/2023,1,,0, 4/13/2020, 6/30/2020,0,,,,,,,,,,,,
Louisiana,LA,22, 3/27/2020, 3/30/2020, 4/16/2020, 2/28/2023, 2/25/2023,95, 5/14/2020,1, 4/22/2021,1, 10/1/2021,1, 7/21/2021,1, 7/21/2021,1,  2/3/2022,1, 7/29/2022,1, 7/20/2022,1, 7/20/2022,1,  3/9/2023,1,  3/9/2023,1,  3/3/2023,1,,0, 4/13/2020, 6/30/2020,1, 10/1/2020, 6/30/2021,,,,, 12/1/2020, 5/31/2021, 12/1/2020, 5/31/2021,,
New Jersey,NJ,34, 3/25/2020, 3/29/2020, 3/29/2020, 2/28/2023,  2/5/2023,95,  5/8/2020,1, 4/19/2021,1, 4/19/2021,1, 7/14/2021,1, 7/14/2021,1,,0, 6/29/2022,1, 6/30/2022,1, 6/30/2022,1,,0,  1/3/2023,1, 3/28/2023,1,,0, 4/13/2020,4/31/21,1, 11/1/2020, 6/30/2021,,,,, 11/1/2020, 6/30/2021,,,,
Ohio,OH,39, 3/26/2020, 3/28/2020, 3/28/2020, 2/28/2023, 2/27/2023,95, 5/11/2020,1, 1/15/2021,1,  4/7/2021,1, 6/16/2021,1, 6/16/2021,1,11/15/2021,1, 6/21/2022,1, 6/16/2022,1, 6/16/2022,1, 1/20/2023,1, 1/20/2023,1, 4/18/2023,1,,0, 4/13/2020, 9/30/2020,1, 10/7/2020, 6/30/2021,10/15/2020, 6/30/2021,,, 11/1/2020,12/31/2020, 10/7/2020, 6/30/2021,,
Connecticut,CT,9, 3/28/2020, 3/28/2020,  4/9/2020, 2/28/2023, 2/24/2023,95, 4/24/2020,1, 2/25/2021,1, 5/27/2021,1, 6/11/2021,1, 6/11/2021,1,  5/3/2022,1,,0, 6/28/2022,1, 6/28/2022,1,,0,  8/2/2023,1,  6/8/2023,1,,0,  4/2/2020, 6/30/2020,1, 10/3/2020, 6/30/2021,,,,,,, 11/1/2020, 6/30/2021,,
Massachusetts,MA,25, 3/25/2020, 3/28/2020,  4/1/2020, 2/28/2023,  3/2/2023,95, 4/17/2020,1,12/15/2020,1,  3/3/2021,1, 5/25/2021,1, 5/25/2021,1,,0, 3/18/2022,1, 6/28/2022,1, 6/28/2022,1,  5/8/2023,1,  3/1/2023,1, 5/10/2023,1,,0, 4/10/2020, 5/31/2021,1,10/14/2020, 6/30/2021,,,,, 12/1/2020, 1/31/2021, 12/1/2020, 6/30/2021,  1/1/2021,12/31/2021
West Virginia,WV,54, 3/27/2020, 3/27/2020,  4/3/2020, 2/28/2023,  3/8/2023,95, 4/30/2020,1,  2/4/2021,1, 4/14/2021,1, 6/16/2021,1, 6/16/2021,1, 2/18/2022,1,,0,  7/8/2022,1,  7/8/2022,1,,0,,0, 3/30/2023,1,,0,,,1,,,,,,,,,,,,
Michigan,MI,26, 3/24/2020, 3/27/2020, 3/31/2020, 2/28/2023, 2/28/2023,95,  4/9/2020,1,  2/4/2021,1,  5/3/2021,1, 5/21/2021,1, 5/21/2021,1,11/24/2021,1,  5/5/2022,1, 5/24/2022,1, 5/24/2022,1, 2/15/2023,1, 2/15/2023,1, 3/20/2023,1,,0,  4/9/2020, 6/30/2020,1,,,11/24/2020, 6/30/2021,,,,,,,,
Rhode Island,RI,44, 3/25/2020, 3/27/2020, 3/27/2020, 2/28/2023,  2/3/2023,95, 4/10/2020,1,12/28/2020,1, 3/22/2021,1,  6/7/2021,1,  6/7/2021,1, 1/27/2022,1,,0,  7/5/2022,1,  7/5/2022,1, 1/17/2023,1, 1/30/2023,1,  4/4/2023,1,,0, 4/10/2020, 7/31/2020,1, 11/2/2020, 6/30/2021, 11/2/2020, 6/30/2021,,, 10/1/2020, 6/30/2021,10/28/2020, 6/30/2021, 11/1/2020,12/31/2021
Virginia,VA,51, 3/24/2020, 3/25/2020, 3/25/2020, 2/28/2023, 2/16/2023,95, 4/25/2020,1,  3/2/2021,1, 6/10/2021,1, 6/25/2021,1, 6/25/2021,1, 1/14/2022,1, 10/7/2022,1, 7/20/2022,1, 7/20/2022,1,,0,  3/3/2023,1, 3/23/2023,1,,0, 4/13/2020, 6/30/2020,1,10/13/2020, 3/31/2021,10/13/2020, 6/30/2021,,,,, 11/1/2020, 6/30/2021,,
