puma_code,puma_raw,est_eligible_households,est_eligible_population,n_sample_households,est_non_enrollment_rate,observed_non_enrollment_rate,ci95_lo,ci95_hi,model_confidence,top_predictive_features,model_auc_cv5,model_version,acs_vintage
0602906,2906,7590.0,23796.0,87,0.4868,0.4626,0.424,0.5487,0.8754,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602907,2907,3469.0,10796.0,39,0.6774,0.6371,0.6037,0.7589,0.8447,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602908,2908,7992.0,23309.0,73,0.6316,0.7046,0.58,0.6855,0.8945,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603100,3100,9989.0,27875.0,85,0.5541,0.4832,0.481,0.6245,0.8566,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603300,3300,12347.0,24559.0,117,0.551,0.493,0.5023,0.606,0.8963,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603703,3703,12251.0,34033.0,84,0.4821,0.4941,0.4066,0.5694,0.8372,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603704,3704,11227.0,37910.0,85,0.5711,0.5266,0.4921,0.6549,0.8372,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603705,3705,7315.0,14906.0,69,0.7013,0.6567,0.6377,0.7562,0.8815,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603706,3706,5520.0,14615.0,57,0.6112,0.6909,0.5482,0.6933,0.8549,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603707,3707,4535.0,17763.0,59,0.4788,0.5499,0.4062,0.5385,0.8677,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603708,3708,6877.0,15838.0,75,0.6079,0.6209,0.5388,0.6662,0.8726,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603709,3709,3630.0,7366.0,32,0.774,0.8377,0.6616,0.8624,0.7992,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603710,3710,7277.0,17219.0,83,0.6228,0.6549,0.5321,0.7071,0.825,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603711,3711,5617.0,11760.0,56,0.6761,0.6122,0.5871,0.7668,0.8203,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603712,3712,6835.0,18324.0,64,0.578,0.5438,0.5156,0.6528,0.8628,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603713,3713,4108.0,9940.0,47,0.6982,0.7561,0.6186,0.7628,0.8558,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603714,3714,5255.0,13158.0,59,0.7034,0.7859,0.6363,0.765,0.8713,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603715,3715,4660.0,13319.0,48,0.625,0.6273,0.546,0.6906,0.8554,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603716,3716,4128.0,15050.0,48,0.67,0.7607,0.5996,0.7397,0.8599,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603717,3717,8666.0,22083.0,100,0.6963,0.7427,0.6422,0.7519,0.8904,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603718,3718,7779.0,15761.0,71,0.6926,0.6505,0.6225,0.7534,0.8691,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603719,3719,14690.0,30797.0,117,0.4131,0.3539,0.362,0.4717,0.8903,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603720,3720,8433.0,17497.0,63,0.6239,0.7126,0.5426,0.7026,0.8401,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603721,3721,10611.0,20949.0,96,0.5716,0.5266,0.4907,0.6427,0.848,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603722,3722,10642.0,23815.0,89,0.6133,0.5913,0.5486,0.6625,0.8862,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603723,3723,10540.0,30828.0,113,0.5882,0.6219,0.528,0.6392,0.8888,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603724,3724,9638.0,20626.0,97,0.5534,0.5287,0.482,0.62,0.8619,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603725,3725,8745.0,20411.0,88,0.7366,0.6831,0.6908,0.7868,0.9039,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603728,3728,7432.0,8656.0,56,0.6775,0.6971,0.6134,0.744,0.8693,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603730,3730,11132.0,22576.0,96,0.6366,0.519,0.5569,0.6963,0.8606,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603731,3731,7593.0,12047.0,54,0.6429,0.6598,0.5658,0.7252,0.8406,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603732,3732,17365.0,27354.0,149,0.537,0.5819,0.4761,0.5966,0.8796,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
